candidate,scope,n,model_accuracy,model_log_loss,model_brier,market_accuracy,market_log_loss,beat_closing_line_rate,beat_closing_line_n,regression,prior_strength,home_field_weight,composite
reg=0.7_prior=3.0_home=0.05_wt=core_heavy,weeks_1_6,814,0.5724815724815725,0.6836723555145541,0.24528055943476582,0.6298076923076923,0.636911125040649,0.3628536285362854,813,0.7,3.0,0.05,core_heavy
reg=0.7_prior=6.0_home=0.0_wt=live,overall,2333,0.6086583797685383,0.6777701008000966,0.24234392458716375,0.6691855583543241,0.6066100785516633,0.33061749571183535,2332,0.7,6.0,0.0,live
reg=0.7_prior=6.0_home=0.0_wt=live,weeks_1_6,814,0.5909090909090909,0.6813298880725368,0.24411200670768932,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.7,6.0,0.0,live
reg=0.7_prior=6.0_home=0.0_wt=core_only,overall,2333,0.5722246035147879,0.6838434916485837,0.24536795856014518,0.6691855583543241,0.6066100785516633,0.32890222984562606,2332,0.7,6.0,0.0,core_only
reg=0.7_prior=6.0_home=0.0_wt=core_only,weeks_1_6,814,0.5577395577395577,0.6869218109207558,0.24689751565823845,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.7,6.0,0.0,core_only
reg=0.7_prior=6.0_home=0.0_wt=core_heavy,overall,2333,0.5846549507072439,0.6805047951522761,0.24370577367045596,0.6691855583543241,0.6066100785516633,0.32890222984562606,2332,0.7,6.0,0.0,core_heavy
reg=0.7_prior=6.0_home=0.0_wt=core_heavy,weeks_1_6,814,0.5749385749385749,0.683927525063567,0.2454063321948235,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.7,6.0,0.0,core_heavy
reg=0.7_prior=6.0_home=0.02_wt=live,overall,2333,0.609515645092156,0.677170321882681,0.2420460830141528,0.6691855583543241,0.6066100785516633,0.3293310463121784,2332,0.7,6.0,0.02,live
reg=0.7_prior=6.0_home=0.02_wt=live,weeks_1_6,814,0.5896805896805897,0.681194138017352,0.24404501967985207,0.6298076923076923,0.636911125040649,0.3640836408364084,813,0.7,6.0,0.02,live
reg=0.7_prior=6.0_home=0.02_wt=core_only,overall,2333,0.5773681954564938,0.6831881872152182,0.2450423199652783,0.6691855583543241,0.6066100785516633,0.32675814751286447,2332,0.7,6.0,0.02,core_only
reg=0.7_prior=6.0_home=0.02_wt=core_only,weeks_1_6,814,0.5540540540540541,0.6867399004419339,0.24680689277513382,0.6298076923076923,0.636911125040649,0.3640836408364084,813,0.7,6.0,0.02,core_only
reg=0.7_prior=6.0_home=0.02_wt=core_heavy,overall,2333,0.5940848692670382,0.6798820248311734,0.24339644857482717,0.6691855583543241,0.6066100785516633,0.3293310463121784,2332,0.7,6.0,0.02,core_heavy
reg=0.7_prior=6.0_home=0.02_wt=core_heavy,weeks_1_6,814,0.5675675675675675,0.6837726088775153,0.24532938511274757,0.6298076923076923,0.636911125040649,0.3677736777367774,813,0.7,6.0,0.02,core_heavy
reg=0.7_prior=6.0_home=0.05_wt=live,overall,2333,0.6138019717102443,0.6764673862802506,0.24169960093933024,0.6691855583543241,0.6066100785516633,0.3323327615780446,2332,0.7,6.0,0.05,live
reg=0.7_prior=6.0_home=0.05_wt=live,weeks_1_6,814,0.5945945945945946,0.6811711307635359,0.24403607347090492,0.6298076923076923,0.636911125040649,0.3714637146371464,813,0.7,6.0,0.05,live
reg=0.7_prior=6.0_home=0.05_wt=core_only,overall,2333,0.5683669095585083,0.6824063237660336,0.2446551983782088,0.6691855583543241,0.6066100785516633,0.32890222984562606,2332,0.7,6.0,0.05,core_only
reg=0.7_prior=6.0_home=0.05_wt=core_only,weeks_1_6,814,0.5515970515970516,0.6866514633225458,0.2467633707417836,0.6298076923076923,0.636911125040649,0.3628536285362854,813,0.7,6.0,0.05,core_only
reg=0.7_prior=6.0_home=0.05_wt=core_heavy,overall,2333,0.5940848692670382,0.6791464605411991,0.24303315932072142,0.6691855583543241,0.6066100785516633,0.3297598627787307,2332,0.7,6.0,0.05,core_heavy
reg=0.7_prior=6.0_home=0.05_wt=core_heavy,weeks_1_6,814,0.5675675675675675,0.6837224854306635,0.24530585066182997,0.6298076923076923,0.636911125040649,0.36654366543665434,813,0.7,6.0,0.05,core_heavy
reg=0.7_prior=10.0_home=0.0_wt=live,overall,2333,0.6065152164594942,0.6779018011856456,0.24240919891257864,0.6691855583543241,0.6066100785516633,0.330188679245283,2332,0.7,10.0,0.0,live
reg=0.7_prior=10.0_home=0.0_wt=live,weeks_1_6,814,0.5909090909090909,0.6815529849651956,0.2442224182439581,0.6298076923076923,0.636911125040649,0.36654366543665434,813,0.7,10.0,0.0,live
reg=0.7_prior=10.0_home=0.0_wt=core_only,overall,2333,0.5649378482640377,0.6840502135548521,0.24547119815782498,0.6691855583543241,0.6066100785516633,0.330188679245283,2332,0.7,10.0,0.0,core_only
reg=0.7_prior=10.0_home=0.0_wt=core_only,weeks_1_6,814,0.5565110565110565,0.6872816880885941,0.2470767325784304,0.6298076923076923,0.636911125040649,0.37023370233702335,813,0.7,10.0,0.0,core_only
reg=0.7_prior=10.0_home=0.0_wt=core_heavy,overall,2333,0.5790827261037291,0.6807385864808726,0.24382212879907478,0.6691855583543241,0.6066100785516633,0.33104631217838765,2332,0.7,10.0,0.0,core_heavy
reg=0.7_prior=10.0_home=0.0_wt=core_heavy,weeks_1_6,814,0.5651105651105651,0.6842645528883042,0.24557372500780464,0.6298076923076923,0.636911125040649,0.3726937269372694,813,0.7,10.0,0.0,core_heavy
reg=0.7_prior=10.0_home=0.02_wt=live,overall,2333,0.6129447063866267,0.6772998382906228,0.2421103205313135,0.6691855583543241,0.6066100785516633,0.3293310463121784,2332,0.7,10.0,0.02,live
reg=0.7_prior=10.0_home=0.02_wt=live,weeks_1_6,814,0.581081081081081,0.6814132730799022,0.24415348553139885,0.6298076923076923,0.636911125040649,0.36531365313653136,813,0.7,10.0,0.02,live
reg=0.7_prior=10.0_home=0.02_wt=core_only,overall,2333,0.5735105015002143,0.6833891625037066,0.24514268727354493,0.6691855583543241,0.6066100785516633,0.330188679245283,2332,0.7,10.0,0.02,core_only
reg=0.7_prior=10.0_home=0.02_wt=core_only,weeks_1_6,814,0.5626535626535627,0.6870899901402087,0.24698130446125488,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.7,10.0,0.02,core_only
reg=0.7_prior=10.0_home=0.02_wt=core_heavy,overall,2333,0.5915130732961852,0.6801107623074276,0.2435102999415919,0.6691855583543241,0.6066100785516633,0.3297598627787307,2332,0.7,10.0,0.02,core_heavy
reg=0.7_prior=10.0_home=0.02_wt=core_heavy,weeks_1_6,814,0.581081081081081,0.6841016338551253,0.24549281931623806,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.7,10.0,0.02,core_heavy
reg=0.7_prior=10.0_home=0.05_wt=live,overall,2333,0.612087441063009,0.6765938032167775,0.2417623393175424,0.6691855583543241,0.6066100785516633,0.3319039451114923,2332,0.7,10.0,0.05,live
reg=0.7_prior=10.0_home=0.05_wt=live,weeks_1_6,814,0.5945945945945946,0.6813846315691048,0.2441417374387477,0.6298076923076923,0.636911125040649,0.3714637146371464,813,0.7,10.0,0.05,live
reg=0.7_prior=10.0_home=0.05_wt=core_only,overall,2333,0.576939562794685,0.6825991485173675,0.24475144206873883,0.6691855583543241,0.6066100785516633,0.32847341337907376,2332,0.7,10.0,0.05,core_only
reg=0.7_prior=10.0_home=0.05_wt=core_only,weeks_1_6,814,0.5651105651105651,0.6869876431927573,0.2469308927282186,0.6298076923076923,0.636911125040649,0.36900369003690037,813,0.7,10.0,0.05,core_only
reg=0.7_prior=10.0_home=0.05_wt=core_heavy,overall,2333,0.5992284612087441,0.6793680215537579,0.24314340337147078,0.6691855583543241,0.6066100785516633,0.3293310463121784,2332,0.7,10.0,0.05,core_heavy
reg=0.7_prior=10.0_home=0.05_wt=core_heavy,weeks_1_6,814,0.581081081081081,0.6840401377805757,0.24546360026338743,0.6298076923076923,0.636911125040649,0.36531365313653136,813,0.7,10.0,0.05,core_heavy
