name_first,name_last,PA_L,PA_R,probability_L,probability_R,probability,Game_Hit_Probability,Consistency,Approach,Expected_Bases
Teoscar,Hernández,48.0,153,0.5136663467941247,0.7544611909239247,0.7072842403661266,0.7527173913043479,0.04543315093822131,0.5323851483190681,1.4386027582674863
William,Contreras,61.0,170,0.697635418544034,0.6513838512241658,0.664056416836854,0.7518867924528303,0.08783037561597629,0.4992952492631818,1.2384473091126318
Kevin,McGonigle,75.0,184,0.6215742176484842,0.6056683946053618,0.6103225011606368,0.7518236032642813,0.14150110210364453,0.45885486197585845,1.0607168782010554
Jorge,Soler,63.0,170,0.5650812810659618,0.5653481685147443,0.5652760173562998,0.7507936507936508,0.18551763343735095,0.42440564477703147,1.1010593820328118
Travis,Bazzana,41.0,84,0.4570767821049676,0.7534245626948508,0.674079469560859,0.7466666666666666,0.07258719710580763,0.5033126706054413,1.7155485312629308
Ceddanne,Rafaela,53.0,159,0.556839429579796,0.6438015688591927,0.6233221119594625,0.7367924528301887,0.11347034087072616,0.45925902777390587,1.4769833688519955
James,Wood,94.0,185,0.6520458839757668,0.6481528221691009,0.6494679199664867,0.7351024590163935,0.08563453904990681,0.47742546501962657,1.858732934067881
Byron,Buxton,65.0,167,0.7495132669234799,0.5539961969958114,0.6169967133868909,0.7315592903828199,0.11456257699592898,0.45136967781384596,1.5773477909482758
Tyler,Freeman,41.0,108,0.6667663678358842,0.6367580385748315,0.6452001617747678,0.7305128205128205,0.08531265873805272,0.4713269899734137,1.261604963038615
Shohei,Ohtani,73.0,176,0.6934427069158098,0.6681269734198738,0.6756978501149679,0.7270909090909091,0.051393058975941264,0.49129376411086484,1.9089826296273276
Andy,Pages,59.0,184,0.6718137725296691,0.6698945951797994,0.6703613031928639,0.7266071428571429,0.056245839664278985,0.48708931119495774,2.0141340312901774
Jazz,Chisholm,69.0,159,0.6313018043261791,0.6088686192494489,0.6157576407080946,0.7259761904761906,0.11021854976809597,0.44702538625786936,1.3939636458395273
Luis,Arráez,72.0,164,0.628753048044296,0.7402497380342836,0.7092120898970911,0.7231983805668016,0.013986290669710577,0.5129010348919731,1.4110411241685434
Juan,Soto,69.0,108,0.6949550924904626,0.6467347686025302,0.6661348567288934,0.7212321109123435,0.05509725418345013,0.4804378488708713,2.1675234781172596
Jarren,Duran,58.0,178,0.6026604725439793,0.6236632491489388,0.6185769055638495,0.7207829382357684,0.10220603267191897,0.44585967951710087,2.0940205931434215
Zack,Gelof,40.0,108,0.7325968508766678,0.6213569403721165,0.6541723198414308,0.7204059829059829,0.06623366306455214,0.4712696530652529,1.415007006135247
Cody,Bellinger,77.0,171,0.6735856268934715,0.6000316614480232,0.6240172692034267,0.7200271392081737,0.09600987000474703,0.44930936916104014,1.5470749974152191
Josh,Naylor,68.0,175,0.7352848282885531,0.6010336105500182,0.6426046088871553,0.7192982456140351,0.07669363672687979,0.462224367796024,1.1338279593777278
Josh,Jung,45.0,184,0.7701998779178229,0.688727032138102,0.7061471674820424,0.7162218337218338,0.010074666239791363,0.5057580191714673,0.0
Brandon,Marsh,44.0,155,0.6274919468742115,0.7027271537797573,0.6871259029828763,0.7158287037037037,0.028702800720827315,0.4918644444134692,1.5743577777384579
Iván,Herrera,71.0,185,0.6681787808333974,0.5489701481878748,0.5846720684926094,0.7141799292661362,0.12950786077352672,0.4175610565199373,1.2735737706588186
Yandy,Díaz,62.0,171,0.7250632725516377,0.6671318814683027,0.6833240841593585,0.7116747181964573,0.02835063403709881,0.48630447503096375,2.1838338251072957
Ben,Rice,67.0,158,0.731965732705724,0.6864392052106336,0.7005315518198462,0.7098902789171452,0.009358727097299013,0.49730053871165114,2.147770787778625
