team,game_id,Decision_Score,win,pyth_strength
ATH,7,49.23603133554227,1,0.34352180078941164
ATH,20,49.57419658714045,0,0.34352180078941164
ATH,46,45.722214801815966,1,0.34352180078941164
ATH,59,51.912295687118345,0,0.34352180078941164
ATH,74,51.912295687118345,0,0.34352180078941164
ATH,101,45.722214801815966,1,0.34352180078941164
ATH,118,50.87694554411519,0,0.34352180078941164
ATH,125,50.55028112267809,1,0.34352180078941164
ATH,143,49.16534366897551,0,0.34352180078941164
ATH,154,54.84714641786157,1,0.34352180078941164
ATH,168,56.51518902762661,1,0.34352180078941164
ATH,187,54.044239121370026,0,0.34352180078941164
ATH,210,56.738421706633815,1,0.34352180078941164
ATH,224,53.83060421364095,0,0.34352180078941164
ATH,230,53.55166934442443,0,0.34352180078941164
ATH,245,49.1568468490161,0,0.34352180078941164
ATH,265,46.64536777500769,0,0.34352180078941164
ATH,275,46.23271719900271,1,0.34352180078941164
ATH,279,44.91361274121023,1,0.34352180078941164
ATH,292,42.250909853708094,1,0.34352180078941164
ATH,308,43.313951534563095,1,0.34352180078941164
ATH,321,42.250909853708094,0,0.34352180078941164
ATH,337,48.3469246126463,1,0.34352180078941164
ATH,353,44.80338927788895,1,0.34352180078941164
ATH,373,45.4644237530475,1,0.34352180078941164
ATH,388,46.906880833001715,0,0.34352180078941164
ATH,400,48.46766457030168,0,0.34352180078941164
ATH,438,46.9156405353286,1,0.34352180078941164
ATH,452,46.85132527744616,0,0.34352180078941164
ATH,458,49.23156386957685,1,0.34352180078941164
ATH,471,45.4644237530475,0,0.34352180078941164
ATH,482,52.41599020122053,1,0.34352180078941164
ATH,505,48.99021482791378,1,0.34352180078941164
ATH,515,48.04731537311541,0,0.34352180078941164
ATH,518,50.20997672217844,1,0.34352180078941164
ATH,535,40.6178884729418,0,0.34352180078941164
ATH,562,51.18746404496309,1,0.34352180078941164
ATH,576,46.64477966377465,1,0.34352180078941164
ATH,587,50.461517090266014,0,0.34352180078941164
ATH,616,50.461517090266014,1,0.34352180078941164
ATH,637,43.942583835803866,1,0.34352180078941164
ATH,647,45.87167796208417,1,0.34352180078941164
ATH,656,50.343297143516665,0,0.34352180078941164
ATH,669,46.499773896050655,1,0.34352180078941164
ATH,680,51.68234011446424,0,0.34352180078941164
ATH,696,45.2495974609037,1,0.34352180078941164
ATH,708,40.71288675005406,1,0.34352180078941164
ATH,724,49.158593201165544,1,0.34352180078941164
ATH,748,41.47463771481333,0,0.34352180078941164
ATH,763,39.87310598136656,0,0.34352180078941164
ATH,777,39.21624910227396,0,0.34352180078941164
ATH,794,43.180780240058205,1,0.34352180078941164
ATH,807,41.47463771481333,0,0.34352180078941164
ATH,823,42.391102043302624,0,0.34352180078941164
ATH,840,45.2495974609037,1,0.34352180078941164
ATH,855,40.316370798549436,1,0.34352180078941164
ATH,869,40.88346652362999,0,0.34352180078941164
ATH,891,42.6641098965013,0,0.34352180078941164
ATH,903,44.86449759381082,0,0.34352180078941164
ATH,916,46.4741416830673,1,0.34352180078941164
ATH,943,43.99756709675541,1,0.34352180078941164
ATH,955,43.99756709675541,1,0.34352180078941164
ATH,972,43.54209796609408,1,0.34352180078941164
ATH,1002,43.349964709599675,1,0.34352180078941164
ATH,1018,41.47463771481333,0,0.34352180078941164
ATH,1027,49.29183315453749,1,0.34352180078941164
ATH,1040,44.92699759381082,1,0.34352180078941164
ATH,1053,50.343297143516665,0,0.34352180078941164
ATH,1068,43.25683668722105,0,0.34352180078941164
ATH,1079,50.63085439292665,1,0.34352180078941164
ATH,1096,47.88667542044932,1,0.34352180078941164
ATH,1110,49.542531360235,0,0.34352180078941164
ATH,1127,46.078108788959966,1,0.34352180078941164
ATH,1139,47.94223097600488,0,0.34352180078941164
ATH,1153,42.598037474222494,0,0.34352180078941164
ATL,12,54.099368107066276,0,0.48081429919583213
ATL,27,48.89157459942246,1,0.48081429919583213
ATL,38,48.89157459942246,0,0.48081429919583213
ATL,53,48.05350972255577,0,0.48081429919583213
ATL,67,48.04753126075355,0,0.48081429919583213
ATL,83,49.4574193148068,0,0.48081429919583213
ATL,101,49.388871800502386,0,0.48081429919583213
ATL,118,48.05350972255577,1,0.48081429919583213
ATL,125,49.37400291030387,0,0.48081429919583213
ATL,138,47.49152848210041,1,0.48081429919583213
ATL,155,48.70036595775715,1,0.48081429919583213
ATL,170,48.70036595775715,0,0.48081429919583213
ATL,195,48.086966821566165,1,0.48081429919583213
ATL,209,48.70036595775715,0,0.48081429919583213
ATL,223,48.70036595775715,0,0.48081429919583213
ATL,240,48.086966821566165,1,0.48081429919583213
ATL,255,48.6740286056701,0,0.48081429919583213
ATL,270,49.53756026889994,0,0.48081429919583213
ATL,281,49.37400291030387,0,0.48081429919583213
ATL,294,48.05350972255577,0,0.48081429919583213
ATL,313,48.90360778397264,0,0.48081429919583213
ATL,333,48.89157459942246,1,0.48081429919583213
ATL,347,48.49111389556589,0,0.48081429919583213
ATL,359,48.73250842441584,0,0.48081429919583213
ATL,369,48.73250842441584,1,0.48081429919583213
ATL,380,50.12747779033238,0,0.48081429919583213
ATL,395,48.24500336212892,1,0.48081429919583213
ATL,426,49.53756026889994,0,0.48081429919583213
ATL,441,48.06208571853498,0,0.48081429919583213
ATL,454,49.53756026889994,0,0.48081429919583213
ATL,460,44.97581150252948,1,0.48081429919583213
ATL,474,49.53756026889994,0,0.48081429919583213
ATL,490,46.17158360708252,1,0.48081429919583213
ATL,491,49.028810421601804,1,0.48081429919583213
ATL,504,49.01527308898286,1,0.48081429919583213
ATL,526,47.59517971231154,0,0.48081429919583213
ATL,540,49.01527308898286,1,0.48081429919583213
ATL,553,47.59517971231154,1,0.48081429919583213
ATL,566,48.07342948894722,1,0.48081429919583213
ATL,578,47.13060650247219,1,0.48081429919583213
ATL,594,48.07342948894722,1,0.48081429919583213
ATL,610,47.99677346552104,0,0.48081429919583213
ATL,626,47.39969019741209,1,0.48081429919583213
