strategy,window,n_top_picks,hit_rate,wilson_ci_low,wilson_ci_high,p_value_vs_coin_flip,day_success_rate (all top-2 hit),brier_score,longest_streak,current_streak_as_of_end
c0: legacy Approach (no PAVE/matchup),full_season,280,0.6607142857142857,0.6034155330121961,0.7136628824311729,8.156670529200462e-08,0.4722222222222222,0.2224606576691903,12,0
c0: legacy Approach (no PAVE/matchup),first_half,139,0.6762589928057554,0.5946405892165012,0.7483970722898032,3.938353472549578e-05,0.5277777777777778,0.22386239611893355,12,12
c0: legacy Approach (no PAVE/matchup),second_half,141,0.6453900709219859,0.5635295883156213,0.7195385355062729,0.0006993659206296753,0.4166666666666667,0.2210910507598423,9,0
c1: WAVE vs PAVE (user's manual method),full_season,272,0.6911764705882353,0.6339275946504064,0.743100573793277,2.5807796302430846e-10,0.5,0.22661384149183228,13,0
c1: WAVE vs PAVE (user's manual method),first_half,140,0.6928571428571428,0.6121436386170994,0.7632696840975556,5.815464798668522e-06,0.5,0.2250546182359383,13,0
c1: WAVE vs PAVE (user's manual method),second_half,132,0.6893939393939394,0.6060376671248224,0.7620384742393411,1.605711265765883e-05,0.5,0.22821558901834155,6,0
c2: current live heuristic (no ML),full_season,278,0.658273381294964,0.6007023871644793,0.7115298882722764,1.436930189979808e-07,0.4652777777777778,0.2258461285308866,11,0
c2: current live heuristic (no ML),first_half,139,0.6762589928057554,0.5946405892165012,0.7483970722898032,3.938353472549578e-05,0.5138888888888888,0.22739095212969732,11,0
c2: current live heuristic (no ML),second_half,139,0.6402877697841727,0.5577225402589918,0.7153074352256179,0.0011879303854797538,0.4166666666666667,0.22434125726652787,8,0
