date,key_mlbam,name,rank,predicted_probability,metric,probability,Matchup_Hit_Probability,Model_Hit_Probability,actual_hit,at_bats,model_version,strategy
2026-04-03,686948,Drake Baldwin,3,0.6219875529661016,Game_Hit_Probability,0.578142545011621,0.72904481508628,,1,4.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-03,687263,Zach Neto,4,0.5594875529661016,Game_Hit_Probability,0.5286728573967736,0.6783963770736092,,0,4.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-03,660670,Ronald Acuña,5,0.5282375529661016,Game_Hit_Probability,0.5196805581696566,0.6639687610058598,,1,4.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-03,621566,Matt Olson,1,0.6219875529661016,Game_Hit_Probability,0.5993114183749612,0.7508555178593417,,1,4.0,backtest-c1-rank-combined-mean,c1_rank_combined_mean
2026-04-03,686948,Drake Baldwin,2,0.6219875529661016,Game_Hit_Probability,0.578142545011621,0.72904481508628,,1,4.0,backtest-c1-rank-combined-mean,c1_rank_combined_mean
2026-04-03,645277,Ozzie Albies,3,0.5594875529661016,Game_Hit_Probability,0.5832167074334436,0.731490537763252,,1,4.0,backtest-c1-rank-combined-mean,c1_rank_combined_mean
2026-04-03,665742,Juan Soto,4,0.6532375529661016,Game_Hit_Probability,0.6183311925047481,0.5754631236326113,,1,1.0,backtest-c1-rank-combined-mean,c1_rank_combined_mean
2026-04-03,680977,Brendan Donovan,5,0.6219875529661016,Game_Hit_Probability,0.6123874625755865,0.5692003055440216,,0,3.0,backtest-c1-rank-combined-mean,c1_rank_combined_mean
2026-04-03,681198,TJ Rumfield,1,0.6097936030617823,Game_Hit_Probability,0.6444537376423172,0.8268342456489436,,0,4.0,backtest-c1-pa15,c1_pa15
2026-04-03,519317,Giancarlo Stanton,2,0.6301200564971751,Game_Hit_Probability,0.6923213122103372,0.7275902529152596,,0,5.0,backtest-c1-pa15,c1_pa15
2026-04-03,678662,Ezequiel Tovar,3,0.6420516675779113,Game_Hit_Probability,0.6048845108753005,0.7944910335234743,,1,3.0,backtest-c1-pa15,c1_pa15
2026-04-03,681624,Andy Pages,4,0.5775355385456533,Game_Hit_Probability,0.6545314756463436,0.8050397806388743,,1,5.0,backtest-c1-pa15,c1_pa15
2026-04-03,642086,Dominic Smith,5,0.6301200564971751,Game_Hit_Probability,0.6219377176099419,0.7735753690442724,,0,1.0,backtest-c1-pa15,c1_pa15
2026-04-04,650490,Yandy Díaz,1,0.6209677419354839,Game_Hit_Probability,0.6485183676585575,0.6957651179700166,,1,5.0,backtest-c2a-no-lineup,c2a_no_lineup
2026-04-04,621566,Matt Olson,2,0.632453567937439,Game_Hit_Probability,0.6047492410403905,0.7096357109070941,,1,4.0,backtest-c2a-no-lineup,c2a_no_lineup
2026-04-04,672960,Kazuma Okamoto,3,0.6209677419354839,Game_Hit_Probability,0.5593273665702392,0.7589282404303178,,1,4.0,backtest-c2a-no-lineup,c2a_no_lineup
2026-04-04,621493,Taylor Ward,4,0.5897177419354839,Game_Hit_Probability,0.5986514077392358,0.7134313300104289,,0,5.0,backtest-c2a-no-lineup,c2a_no_lineup
2026-04-04,665742,Juan Soto,5,0.6627565982404692,Game_Hit_Probability,0.6315915949824236,0.5996944715041188,,,0.0,backtest-c2a-no-lineup,c2a_no_lineup
2026-04-04,650490,Yandy Díaz,1,0.6209677419354839,Game_Hit_Probability,0.6485183676585575,0.6957651179700166,,1,5.0,backtest-c2b-no-recency,c2b_no_recency
2026-04-04,621566,Matt Olson,2,0.632453567937439,Game_Hit_Probability,0.6047492410403905,0.7096357109070941,,1,4.0,backtest-c2b-no-recency,c2b_no_recency
2026-04-04,621493,Taylor Ward,3,0.5897177419354839,Game_Hit_Probability,0.5986514077392358,0.7134313300104289,,0,5.0,backtest-c2b-no-recency,c2b_no_recency
2026-04-04,665742,Juan Soto,4,0.6627565982404692,Game_Hit_Probability,0.6315915949824236,0.5996944715041188,,,0.0,backtest-c2b-no-recency,c2b_no_recency
2026-04-04,678662,Ezequiel Tovar,5,0.6522177419354839,Game_Hit_Probability,0.6117353074294545,0.6269441984029237,,1,4.0,backtest-c2b-no-recency,c2b_no_recency
2026-04-04,672960,Kazuma Okamoto,1,0.6209677419354839,Game_Hit_Probability,0.5593273665702392,0.7589282404303178,,1,4.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-04,543807,George Springer,2,0.5897177419354839,Game_Hit_Probability,0.5246505759879426,0.7152561717631526,,0,5.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-04,621493,Taylor Ward,3,0.5897177419354839,Game_Hit_Probability,0.5986514077392358,0.7134313300104289,,0,5.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-04,621566,Matt Olson,4,0.632453567937439,Game_Hit_Probability,0.6047492410403905,0.7096357109070941,,1,4.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-04,624413,Pete Alonso,5,0.5897177419354839,Game_Hit_Probability,0.5752859038976785,0.6989928815370692,,0,4.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-04,650490,Yandy Díaz,1,0.6209677419354839,Game_Hit_Probability,0.6485183676585575,0.6957651179700166,,1,5.0,backtest-c1-rank-combined-mean,c1_rank_combined_mean
2026-04-04,621566,Matt Olson,2,0.632453567937439,Game_Hit_Probability,0.6047492410403905,0.7096357109070941,,1,4.0,backtest-c1-rank-combined-mean,c1_rank_combined_mean
2026-04-04,672960,Kazuma Okamoto,3,0.6209677419354839,Game_Hit_Probability,0.5593273665702392,0.7589282404303178,,1,4.0,backtest-c1-rank-combined-mean,c1_rank_combined_mean
2026-04-04,621493,Taylor Ward,4,0.5897177419354839,Game_Hit_Probability,0.5986514077392358,0.7134313300104289,,0,5.0,backtest-c1-rank-combined-mean,c1_rank_combined_mean
2026-04-04,665742,Juan Soto,5,0.6627565982404692,Game_Hit_Probability,0.6315915949824236,0.5996944715041188,,,0.0,backtest-c1-rank-combined-mean,c1_rank_combined_mean
2026-04-04,668930,Brice Turang,1,0.6409989594172737,Game_Hit_Probability,0.6223560259117115,0.8143759687510804,,1,9.0,backtest-c1-pa15,c1_pa15
2026-04-04,681624,Andy Pages,2,0.5897177419354839,Game_Hit_Probability,0.6870497493818689,0.7674962360587132,,1,5.0,backtest-c1-pa15,c1_pa15
2026-04-04,677942,Blaze Alexander,3,0.6290322580645161,Game_Hit_Probability,0.6398836050686163,0.7550998709802897,,0,4.0,backtest-c1-pa15,c1_pa15
2026-04-04,669364,Xavier Edwards,4,0.6522177419354839,Game_Hit_Probability,0.654752917177349,0.7071551479722175,,1,5.0,backtest-c1-pa15,c1_pa15
2026-04-04,668930,Brice Turang,5,0.6409989594172737,Game_Hit_Probability,0.6223560259117115,0.7407601172154057,,1,9.0,backtest-c1-pa15,c1_pa15
2026-04-05,681624,Andy Pages,1,0.6019116855142704,Game_Hit_Probability,0.7159635173411687,0.8738345615358577,,1,5.0,backtest-c2a-no-lineup,c2a_no_lineup
2026-04-05,677800,Wilyer Abreu,2,0.6322147158173007,Game_Hit_Probability,0.6498384220086332,0.7362307490528148,,1,4.0,backtest-c2a-no-lineup,c2a_no_lineup
2026-04-05,650490,Yandy Díaz,3,0.6322147158173007,Game_Hit_Probability,0.6462116970533134,0.6945573529017056,,1,5.0,backtest-c2a-no-lineup,c2a_no_lineup
2026-04-05,802415,Chandler Simpson,4,0.6322147158173007,Game_Hit_Probability,0.6434082804990915,0.6958683522227089,,1,5.0,backtest-c2a-no-lineup,c2a_no_lineup
2026-04-05,691777,Max Muncy,5,0.6019116855142704,Game_Hit_Probability,0.5939161976675209,0.7904403238252897,,1,5.0,backtest-c2a-no-lineup,c2a_no_lineup
2026-04-05,650490,Yandy Díaz,1,0.6322147158173007,Game_Hit_Probability,0.6462116970533134,0.6945573529017056,,1,5.0,backtest-c2b-no-recency,c2b_no_recency
2026-04-05,669364,Xavier Edwards,2,0.6625177461203311,Game_Hit_Probability,0.6754356856421102,0.6309467564090122,,1,4.0,backtest-c2b-no-recency,c2b_no_recency
2026-04-05,607208,Trea Turner,3,0.6019116855142704,Game_Hit_Probability,0.6046312126565532,0.7504099993198615,,1,4.0,backtest-c2b-no-recency,c2b_no_recency
2026-04-05,663656,Kyle Tucker,4,0.6019116855142704,Game_Hit_Probability,0.5953912960961796,0.7618586427861057,,0,1.0,backtest-c2b-no-recency,c2b_no_recency
2026-04-05,802139,JJ Wetherholt,5,0.6019116855142704,Game_Hit_Probability,0.5746624645075727,0.7821295590350763,,1,4.0,backtest-c2b-no-recency,c2b_no_recency
2026-04-05,681624,Andy Pages,1,0.6019116855142704,Game_Hit_Probability,0.7159635173411687,0.8738345615358577,,1,5.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-05,676475,Alec Burleson,2,0.5716086552112403,Game_Hit_Probability,0.5771831624939243,0.7920463496477979,,0,4.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-05,691777,Max Muncy,3,0.6019116855142704,Game_Hit_Probability,0.5939161976675209,0.7904403238252897,,1,5.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
2026-04-05,701350,Roman Anthony,4,0.5716086552112403,Game_Hit_Probability,0.5469366223783332,0.7847749165743991,,0,5.0,backtest-c1-rank-matchup-only,c1_rank_matchup_only
