date,key_mlbam,name,rank,predicted_probability,metric,probability,Matchup_Hit_Probability,Model_Hit_Probability,actual_hit,at_bats,model_version,strategy
2026-04-05,677800,Wilyer Abreu,2,0.6322147158173007,Game_Hit_Probability,0.6498384220086332,0.7362307490528148,,1,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-05,650490,Yandy Díaz,3,0.6322147158173007,Game_Hit_Probability,0.6462116970533134,0.6945573529017056,,1,5.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-05,802415,Chandler Simpson,4,0.6322147158173007,Game_Hit_Probability,0.6434082804990915,0.6958683522227089,,1,5.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-05,691777,Max Muncy,5,0.6019116855142704,Game_Hit_Probability,0.5939161976675209,0.7904403238252897,,1,5.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-05,650490,Yandy Díaz,1,0.6322147158173007,Game_Hit_Probability,0.6462116970533134,0.6945573529017056,,1,5.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-05,669364,Xavier Edwards,2,0.6625177461203311,Game_Hit_Probability,0.6754356856421102,0.6309467564090122,,1,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-05,607208,Trea Turner,3,0.6019116855142704,Game_Hit_Probability,0.6046312126565532,0.7504099993198615,,1,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-05,663656,Kyle Tucker,4,0.6019116855142704,Game_Hit_Probability,0.5953912960961796,0.7618586427861057,,0,1.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-05,802139,JJ Wetherholt,5,0.6019116855142704,Game_Hit_Probability,0.5746624645075727,0.7821295590350763,,1,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-06,669364,Xavier Edwards,1,0.6748342703700597,Game_Hit_Probability,0.6771659664802049,,,0,3.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-06,650490,Yandy Díaz,2,0.6454225056641774,Game_Hit_Probability,0.6431487506358178,,,1,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-06,669394,Jake Burger,3,0.6454225056641774,Game_Hit_Probability,0.6126127683003538,,,1,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-06,656811,Ryan O'Hearn,4,0.6346777331085462,Game_Hit_Probability,0.6174976919988964,,,1,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-06,607043,Brandon Nimmo,5,0.6160107409582949,Game_Hit_Probability,0.6282746809534918,,,0,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-06,677800,Wilyer Abreu,1,0.6454225056641774,Game_Hit_Probability,0.674832466392238,0.8222949372029503,,1,5.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-06,669364,Xavier Edwards,2,0.6748342703700597,Game_Hit_Probability,0.6771659664802049,0.7441449981412862,,0,3.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-06,671277,Luis García,3,0.6160107409582949,Game_Hit_Probability,0.6226474848581115,0.8016860900563022,,0,3.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-06,682928,CJ Abrams,4,0.6346777331085462,Game_Hit_Probability,0.5881483986740208,0.7856565553881001,,1,5.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-06,695734,Daylen Lile,5,0.6160107409582949,Game_Hit_Probability,0.6030355700057828,0.7820523425154686,,1,5.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-06,669364,Xavier Edwards,1,0.6748342703700597,Game_Hit_Probability,0.6771659664802049,0.7441449981412862,,0,3.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-06,671277,Luis García,2,0.6160107409582949,Game_Hit_Probability,0.6226474848581115,0.8016860900563022,,0,3.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-06,695734,Daylen Lile,3,0.6160107409582949,Game_Hit_Probability,0.6030355700057828,0.7820523425154686,,1,5.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-06,669394,Jake Burger,4,0.6454225056641774,Game_Hit_Probability,0.6126127683003538,0.6520999268216177,,1,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-06,607043,Brandon Nimmo,5,0.6160107409582949,Game_Hit_Probability,0.6282746809534918,0.6572114826117992,,0,4.0,backtest-c2-current-heuristic,c2_current_heuristic
2026-04-07,669364,Xavier Edwards,1,0.6558356676003735,Game_Hit_Probability,0.6679403026508339,,,0,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-07,690993,Colt Keith,2,0.6422239989281513,Game_Hit_Probability,0.6667727852933693,,,0,3.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-07,650490,Yandy Díaz,3,0.6525458614818477,Game_Hit_Probability,0.6545506212705008,,,0,4.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-07,665742,Juan Soto,4,0.6618807560903149,Game_Hit_Probability,0.6294570709058532,,,,0.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-07,669394,Jake Burger,5,0.6525458614818477,Game_Hit_Probability,0.6071843343961325,,,0,3.0,backtest-c0-legacy-approach,c0_legacy_approach
2026-04-07,681624,Andy Pages,1,0.6237013236667216,Game_Hit_Probability,0.7009898362231787,0.8679296194390129,,1,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-07,650490,Yandy Díaz,2,0.6525458614818477,Game_Hit_Probability,0.6545506212705008,0.8736837706456497,,0,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-07,802415,Chandler Simpson,3,0.6525458614818477,Game_Hit_Probability,0.6516707405406523,0.871880926543803,,1,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-07,663743,Nick Fortes,4,0.6422239989281513,Game_Hit_Probability,0.6157088099683028,0.8780155054807833,,0,4.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
2026-04-07,665742,Juan Soto,5,0.6618807560903149,Game_Hit_Probability,0.6294570709058532,0.8187052128343608,,,0.0,backtest-c1-wave-vs-pave,c1_wave_vs_pave
