key_mlbam,name_first,name_last,team,at_bats,Throws,PAVE,PAVE_PLUS,Power_A_PLUS,Expected_Hits,Expected_Bases,Expected_HRs,Fastball_Rate,Breaking_Rate,Offspeed_Rate
655316,Andruw,Monasterio,BOS,7,R,0.75,3.1521360341629268,3.6472809141430194,9.428571428571429,28.28571428571429,6.285714285714286,0.0,0.9999999999999999,0.0
687060,Blake,Adams,COL,9,R,0.7142857142857143,3.0020343182504066,2.836774044333459,12.222222222222223,21.999999999999996,2.444444444444444,0.8378378378378378,0.16216216216216217,0.0
660844,Leo,Rivas,SEA,12,R,0.6504545454545455,2.7337616150831203,2.4431716456821917,13.1175,18.947499999999998,1.4575,0.0,0.0,0.7949999999999999
683734,Andrew,Vaughn,MIL,26,R,0.6201428571428572,2.6063661951050032,2.7211209486798644,10.551538461538462,21.103076923076923,3.517179487179487,0.03831325301204819,0.006385542168674699,0.955301204819277
640902,Jhonny,Pereda,SEA,4,R,0.59625,2.5059481471595264,3.3828530478676497,13.1175,26.235,4.3725,0.19874999999999998,0.0,0.59625
624431,Jose,Trevino,CIN,36,R,0.5588235294117647,2.3486503783959063,3.144091232469584,12.099999999999998,24.383333333333333,2.3833333333333333,0.05096711798839458,0.0,0.9490328820116055
684516,,,STL,11,R,0.5555555555555556,2.3349155808614275,2.5788854948485995,10.0,20.0,1.9999999999999998,0.372093023255814,0.3488372093023256,0.27906976744186046
642215,Weston,Wilson,SEA,20,R,0.5185714285714286,2.1794769150497952,1.7263796326943621,11.40857142857143,13.388571428571428,0.6599999999999999,0.25863960749330955,0.0,0.5363603925066904
664702,Myles,Straw,TOR,20,R,0.505157894736842,2.1231018705891764,2.4268601949272743,10.868,18.821,2.651,0.049074074074074076,0.5583333333333333,0.3925925925925926
677588,José,Tena,WSH,5,R,0.49999999999999994,2.101424022775284,1.1347096177333837,8.8,8.8,0.0,0.9999999999999999,0.0,0.0
699151,Jedixson,Paez,BOS,37,R,0.48125,2.0226206219212113,2.38198410233651,9.497297297297298,18.472972972972972,2.1135135135135137,0.515713853599516,0.19416969147005447,0.29011645493042953
656457,Tyler,Gilbert,CWS,32,L,0.47857142857142854,2.011362993227772,2.001698685032797,10.174999999999999,15.52375,0.4125,0.6035820895522388,0.3722014925373134,0.024216417910447763
702352,Spencer,Bivens,SF,29,R,0.4682,1.9677734549267765,1.6197413468017237,8.77644283121597,12.561560798548095,0.9462794918330308,0.6188851545995774,0.27371903207221054,0.10739581332821202
675920,Seth,Lonsway,SF,11,L,0.4545454545454546,1.910385475250259,1.2894427474242998,10.0,10.0,0.0,0.6363636363636362,0.15151515151515152,0.21212121212121213
691594,Javier,Sanoja,MIA,26,R,0.44143048128342244,1.855265235508479,2.1611843509228486,9.165465587044533,16.760607287449396,2.1003238866396763,0.7949999999999999,0.0,0.0
660761,José,Suarez,ATH,271,L,0.44028396005907966,1.8504465810215678,1.6105272395519166,8.547819260545547,12.490102742203891,0.350569905699057,0.44223872088617405,0.34861599288599876,0.20914528622782716
678391,Jorbit,Vivas,WSH,27,R,0.4396127146510778,1.8476254385704625,1.3220267609782597,7.822222222222221,10.252698412698413,0.4853968253968254,0.0,0.0,0.9999999999999999
696522,Hayden,Juenger,ATH,76,R,0.4075460199004975,1.7128539932107192,1.3552747179020574,7.775050889716179,10.510545897514714,0.0,0.6559854948307929,0.17630165959945893,0.16771284556974808
694820,Braxton,Roxby,SF,11,R,0.4,1.6811392182202276,1.0315541979394396,7.999999999999999,7.999999999999999,0.0,0.2916666666666667,0.7083333333333335,0.0
664774,LaMonte,Wade,HOU,6,L,0.39749999999999996,1.670632098106351,2.631107926119283,8.745,20.405,2.915,0.07227272727272727,0.0,0.7227272727272728
700270,Yilber,Díaz,DET,28,R,0.3944782608695653,1.65793218770784,1.8455397292269409,6.966868131868133,14.312692307692307,1.6282417582417583,0.4790807843137255,0.5209192156862745,0.0
672578,Carlos,Hernández,CLE,14,R,0.38461538461538464,1.6164800175194498,1.8236404570715097,7.857142857142858,14.142857142857144,1.5714285714285714,0.5490196078431373,0.21568627450980393,0.23529411764705882
802408,Brycen,Mautz,STL,47,L,0.3797570850202429,1.5960613225613092,1.421313417054501,6.6326241134751776,11.022695035460993,1.2141843971631205,0.5255275265746469,0.4607250515627479,0.013747421862605108
691384,Luis,Perales,WSH,28,R,0.375,1.5760680170814634,1.5197003808929246,7.071428571428572,11.785714285714285,1.5714285714285714,0.5855855855855856,0.07207207207207207,0.34234234234234234
641312,Shaun,Anderson,LAA,92,R,0.37148148148148147,1.5612802184026744,1.3869358316752065,7.315478260869566,10.75608695652174,1.1229565217391306,0.27723429996419885,0.3706380010616891,0.14712769897411207
657265,Peter,Strzelecki,STL,60,R,0.36716666666666664,1.543145707391317,1.2260902942315204,6.475240896358543,9.508683473389356,0.3658039215686275,0.504904780519499,0.3840274877193734,0.11106773176112752
695034,Kade,Morris,ATH,87,R,0.365521717211165,1.5362322347872326,1.4812453446576705,7.135576354679803,11.487484400656813,0.828072249589491,0.5801509343305591,0.24837387958991428,0.17147518607952664
694680,Trevor,Martin,LAA,66,R,0.36324630541871916,1.526669024782529,1.2257227849890822,6.827916666666665,9.505833333333335,0.39999999999999997,0.7445616849359832,0.057789165156601215,0.19764914990741567
681867,Cooper,Criswell,SEA,132,R,0.3622580645161291,1.522515598436545,1.1037629917952005,7.86,8.560000000000002,0.15,0.626399613899614,0.17099420849420852,0.2026061776061776
689546,Nick,Davila,SEA,117,R,0.3618475073313783,1.5207900889750285,1.2754483656806272,6.264780660888407,9.891469537739255,0.4885557240881185,0.3607719111979201,0.6392280888020798,0.0
680573,Simeon,Woods Richardson,TOR,299,R,0.3610657051282051,1.517504293113415,1.5647845507904075,6.6286550513724425,12.135355012202838,1.2197778330169635,0.41240880134045055,0.3669141204877836,0.22067707817176593
668820,Max,Kranick,WSH,93,R,0.35345670082378944,1.4855248042440157,1.5188657863786863,6.401140126301417,11.77924176480628,1.0395741594128691,0.39509540889526545,0.6049045911047346,0.0
660825,Eduard,Bazardo,SEA,266,R,0.3529494643700961,1.4833929665059786,1.4444713024468105,6.775525145623339,11.202291108559765,1.2373252016378489,0.6283739417913368,0.3495000616794782,0.02212599652918504
621016,José,Cuas,KC,78,R,0.35095376121463084,1.4750053293995324,0.980326183070213,6.719694692903994,7.602711985688731,0.0,0.7116438648375498,0.2853617848799642,0.0029943502824858756
643377,Griffin,Jax,TB,385,R,0.3497260034904014,1.469845250247845,1.270018032870664,6.890662931839403,9.849355742296918,0.4111111111111111,0.4566640933961753,0.3331791499307345,0.21015675667309017
671111,Sammy,Peralta,LAA,59,L,0.34704999999999997,1.4585984142083248,1.4004056499679491,6.87002824858757,10.86054927809165,0.9976302573760202,0.42401993620414674,0.4268595494417863,0.14912051435406698
668834,Easton,McGee,KC,47,R,0.34644261144261146,1.4560456523970147,1.7828474191870043,6.827287856772186,13.8264953814219,1.8669538315170384,0.5768408333952011,0.39433598383434604,0.028823182770452895
681006,Josh,Simpson,SEA,38,L,0.34525,1.4510332877263339,1.876856631812953,6.0355263157894745,14.555563909774435,2.7218796992481207,0.3494895335447132,0.40547276513179686,0.04003770132348998
671936,Adam,Macko,TEX,126,L,0.3421336784467966,1.4379358617771458,1.058875269837612,6.71967032967033,8.211882783882782,0.2868864468864469,0.4367860160507532,0.3809011162047151,0.1823128677445317
657571,Caleb,Ferguson,STL,146,L,0.34030874775550074,1.430265955387968,1.5152134135371578,6.360237293243113,11.750916561156684,1.1629785319442145,0.8234911139869188,0.17650888601308123,0.0
674003,Cody,Bradford,TEX,132,L,0.3397873900293255,1.4280747680874797,1.4466080346074603,7.030914387031409,11.21886208206687,0.8494199594731509,0.5489808468907194,0.1478290284049454,0.30319012470433526
595978,Austin,Hedges,CLE,20,R,0.33875,1.4237147754302553,0.9609572075179593,7.4525,7.4525,0.0,0.7599420454545455,0.0,0.24005795454545456
607625,Seth,Lugo,KC,674,R,0.3381256459058183,1.4210907100457921,1.3707543890311296,6.868627665995204,10.630595206877175,0.5872380563524376,0.5050358367068828,0.4031765458050682,0.09178761748804895
668390,Cole,Winn,TEX,211,R,0.3380555555555555,1.4207961309541783,1.291076725432571,6.756956668923493,10.012671970209885,0.3996716316858497,0.5692320208867552,0.26305598728597923,0.16771199182726565
688158,David,Morgan,SD,120,R,0.33570028011204484,1.4108972661596861,0.8889949247756767,6.234411764705882,6.894411764705882,0.11,0.5830004293407092,0.41699957065929094,0.0
686628,,,ATL,4,R,0.33333333333333337,1.4009493485168565,0.7091935110833647,5.499999999999999,5.499999999999999,0.0,0.7391304347826085,0.2608695652173913,0.0
690440,Bradley,Hanner,NYY,18,R,0.33333333333333337,1.4009493485168565,2.141764403471762,7.333333333333334,16.610000000000003,1.9433333333333334,0.7634450704225352,0.2365549295774648,0.0
645302,Víctor,Robles,SEA,9,R,0.33125000000000004,1.3921934150886262,0.8352723574981852,6.477777777777778,6.477777777777778,0.0,0.22423076923076923,0.22423076923076923,0.08153846153846155
676755,Isaac,Mattson,PIT,175,R,0.3305651563048823,1.389315121103093,1.3399948490166522,6.749643761301989,10.392046112115732,0.24124412296564196,0.6417655845171089,0.22996485526668453,0.12826956021620656
663362,Matt,Waldron,WSH,190,R,0.3302266224829784,1.3878923148913513,1.197052734500501,6.871670346598203,9.283488831835687,0.36657252888318353,0.5246548697300835,0.13947800009858544,0.3358671301713312
571948,Hoby,Milner,SEA,155,L,0.3300757575757576,1.387258252610896,1.8749529101747258,6.997264516129032,14.5408,1.5577032258064514,0.47329981589010056,0.28060575152789424,0.24609443258200517
621242,Edwin,Díaz,LAD,76,R,0.3300044984255511,1.3869587612307233,1.1966707350175092,6.131052631578948,9.280526315789475,0.4905263157894737,0.47662845651080943,0.31837154348919056,0.0
694037,Daniel,Palencia,CHC,93,R,0.32942810457516336,1.384536265463154,1.7543987680324025,6.382809139784947,13.605867895545316,1.6208947772657452,0.7209239610963749,0.23118479221927496,0.04789124668435014
680723,Drew,Rom,ATH,53,L,0.3291696808510638,1.383450149819398,1.4883754209802396,6.700168118045476,11.542780196742461,0.12452830188679244,0.8265368171646703,0.08337349611688824,0.0900896867184415
547179,Michael,Lorenzen,TOR,579,R,0.3290970993558631,1.3831451008241507,1.4919632441571231,6.5525219639077585,11.570604799145709,1.11047466951024,0.5569796775762869,0.22091537275288092,0.2221049496708322
671106,Logan,Allen,CLE,80,L,0.32450721153846157,1.3638544997814883,1.345592320317961,6.395647053839964,10.435456114711737,1.1536522006184606,0.6165385049732877,0.21164810354336044,0.17181339148335198
690986,Kyle,Harrison,MIL,470,L,0.3219862209889862,1.3532591595777743,1.571311698400404,6.429631885289063,12.185974922416262,1.5850843821189584,0.566261562953599,0.34796222405278443,0.08577621299361657
