position,total_players,qualified_players,mean_dk_points,std_dk_points,below_-3sd,-3sd_to_-2sd,-2sd_to_-1sd,within_1sd,1sd_to_2sd,2sd_to_3sd,above_3sd
QB,81,37,232.69783783783782,87.1435108106515,0,0,8,21,8,0,0
RB,151,97,121.46907216494846,102.42358515520895,0,0,15,66,10,6,0
WR,240,162,99.22283950617285,83.14655607419309,0,0,19,114,23,4,2
TE,136,87,80.56666666666666,62.937450552054756,0,0,11,62,12,1,1
