key_mlbam,name_first,name_last,team,opponent,is_home,game_pk,game_datetime,starts,K9,BB9,HR9,IP_per_start,Expected_IP,Expected_K,Expected_BB,Expected_H_Allowed,FIP_Windowed,Expected_ER,DK_Points_Pitcher,Expected_H_Allowed_Source,Expected_BB_Source,Opponent_Bases_PG,Opponent_Offense_Ratio,Ceiling_DK_Points,n_games,Ceiling_Source,Upside_Deviation,Upside_Deviation_Source,Boom_Adjusted_DK_Points,Boom_Rate,Boom_Rate_Source
656302,Dylan,Cease,TOR,NYY,False,823509,2026-08-22T17:35:00Z,23,13.221974324061465,3.9693211437463525,0.665805985494762,6.130314009661836,6.130314009661836,9.006094937131454,1.863438698290789,4.417885292667045,2.4466102882831144,1.666498814049418,24.703604373328503,model,model,15.187711674929522,1.0,33.08,23,player,5.811037131891281,player,24.703604373328503,0.9130434782608695,player
669373,Tarik,Skubal,LAD,PIT,True,823910,2026-08-22T23:15:00Z,19,11.028094544100831,2.24809767415453,0.8627692742213378,5.898684210526316,5.898684210526316,7.22791635105322,1.632424721090194,5.030662111265322,2.644900499904369,1.73349253524434,20.26303500588866,model,model,16.04202985931668,1.0,29.087777777777777,19,player,4.790616914924428,player,20.26303500588866,0.8947368421052632,player
701656,Logan,Henderson,MIL,ATL,True,823743,2026-08-22T18:10:00Z,12,10.403558807538964,1.5162172052304346,1.8317673627568518,5.761904761904762,5.761904761904762,6.660479448212776,1.571333512198581,4.620763136429552,3.9393899684947167,2.5220433131632842,17.52589999520782,model,model,15.280814043209878,1.0,22.104444444444447,12,player,3.397363816874293,player,17.52589999520782,0.75,player
691587,Eury,Pérez,MIA,WSH,True,823831,2026-08-22T20:10:00Z,22,9.32334735706675,3.8535981430218937,0.3705346820809248,5.79469696969697,5.79469696969697,6.002885853047439,1.7975880349536133,4.951066888318598,2.8478945091093557,1.8336317424391804,17.32738344907137,model,model,17.162299741602066,1.0,25.021111111111114,22,player,5.185431756542036,player,17.32738344907137,0.5909090909090909,player
681035,Christian,Scott,NYM,CWS,False,824560,2026-08-22T23:10:00Z,18,11.713684753455746,3.3103734268619767,0.734465943588081,4.8462962962962965,4.8462962962962965,6.307554115183887,1.673303689398681,4.5788743305423365,2.661312004479943,1.4330562789555579,16.901855527158716,model,model,17.761023622047244,1.0,22.349444444444444,18,player,3.672379301089526,player,16.901855527158716,0.6666666666666666,player
677960,Ryan,Weathers,NYY,TOR,True,823509,2026-08-22T17:35:00Z,24,7.973752821717911,2.669239112874484,0.6663080716676528,5.816666666666666,5.816666666666666,5.153406916258428,1.6256901621339113,5.355079140926696,3.1802462918741243,2.0553813997482764,15.095089451183938,model,model,15.606916451335056,1.0,24.46185185185185,24,player,4.526429539189318,player,15.095089451183938,0.625,player
647336,Michael,Soroka,AZ,CIN,True,825044,2026-08-23T00:10:00Z,17,8.290588235294116,2.4855882352941174,0.1786764705882353,5.1,5.1,4.697999999999999,1.5613134210305275,4.9255226936451075,2.3442647058823534,1.3284166666666668,14.32206499786128,model,model,14.811161265432098,1.0,25.344444444444445,17,player,5.076743749692867,player,14.32206499786128,0.7058823529411765,player
682052,Jacob,Lopez,ATH,HOU,False,824151,2026-08-22T23:10:00Z,17,9.454147816737816,3.55659808919581,1.4217278701643385,5.137535014005602,5.137535014005602,5.396779492897238,1.769221389515978,4.839692804730663,4.238217882916467,2.4193325300520048,13.548999190655081,model,model,15.48858024691358,1.0,17.75425925925926,20,player,4.950376276036846,player,13.548999190655081,0.25,player
665152,Dean,Kremer,MIN,SD,False,823261,2026-08-23T00:40:00Z,10,8.774009221736495,2.819763014933469,1.669278295414659,5.367083333333334,5.367083333333334,5.232315406721658,1.747118784381751,4.982417282334071,4.501320937968665,2.684329398239555,13.13418787693471,model,model,17.778707561728396,1.0,20.487222222222222,10,player,5.275071345060012,player,13.13418787693471,0.4,player
663554,Casey,Mize,SD,MIN,True,823261,2026-08-23T00:40:00Z,19,7.625188158616128,2.434975845457756,0.7746723137827223,5.195638401559455,5.195638401559455,4.401968935113597,1.567101779355882,5.038924335907971,3.3361434775907113,1.9259327961424892,12.67864301229268,model,model,16.666315586419753,1.0,23.205555555555556,19,player,5.665621837298364,player,12.67864301229268,0.5263157894736842,player
663776,Patrick,Sandoval,BOS,SF,True,824718,2026-08-22T23:15:00Z,7,10.029593355560849,5.136912360085734,0.6674767801857585,4.488095238095238,4.488095238095238,5.001530019902699,2.034415370457218,5.343619675713741,3.547638723505597,1.7691267179386374,12.136199861939831,model,model,15.299005540974044,1.0,14.061111111111112,7,group_fallback,5.525571635049156,group_fallback,12.136199861939831,0.10005480786797394,group_fallback
686613,Hunter,Brown,HOU,ATH,True,824151,2026-08-22T23:10:00Z,13,9.097369121515616,5.476066112467118,1.46434206350854,5.148076923076923,5.148076923076923,5.203772892798569,2.086167273320772,4.826944528679174,5.018878546664572,2.87084142508997,12.10116893114031,model,model,16.660613425925927,1.0,24.994814814814816,13,player,6.312973460140719,player,12.10116893114031,0.38461538461538464,player
683003,Jared,Jones,PIT,LAD,False,823910,2026-08-22T23:15:00Z,14,10.560411953405637,3.6854639791724235,1.9125573146932855,4.428042328042327,4.428042328042327,5.195772347916035,1.7469541911898279,4.388644424960001,4.744312569079857,2.3342240970387604,12.004832570159888,model,model,17.48942901234568,1.0,23.870555555555566,14,player,5.88230652018071,player,12.004832570159888,0.35714285714285715,player
656849,David,Peterson,CHC,SEA,False,823100,2026-08-22T23:15:00Z,16,7.709271894592477,4.033742163009404,0.7126138812695926,5.158333333333333,5.158333333333333,4.418554909956244,1.8530055373471388,5.54046700526669,3.7607403507053294,2.1554613676727765,11.696353558998634,model,model,15.889475308641977,1.0,17.88740740740741,25,player,4.536588310580784,player,11.696353558998634,0.2,player
695076,Rhett,Lowder,CIN,AZ,False,825044,2026-08-23T00:10:00Z,19,7.396898022032716,2.5908838638575475,1.3619006661363646,5.322587719298245,5.322587719298245,4.37451539699698,1.6409789145330844,5.444667134040849,4.287062689697772,2.535363024894119,11.402739483482414,model,model,17.96664737654321,1.0,15.526296296296294,22,player,4.0679484617459325,player,11.402739483482414,0.3181818181818182,player
676440,Tanner,Bibee,CLE,COL,False,824316,2026-08-23T00:10:00Z,26,6.518648440423875,2.687162027307479,1.4663919147257611,5.917948717948717,5.917948717948717,4.28633635341832,1.6472784341633253,5.643972477619646,4.665253788056621,3.067636963770564,11.378032847610342,model,model,17.034470691163605,1.0,19.967592592592595,26,player,4.4748550617569105,player,11.378032847610342,0.4230769230769231,player
622491,Luis,Castillo,CWS,NYM,True,824560,2026-08-22T23:10:00Z,20,8.024254163536472,2.3735316287890473,1.9342860198054599,5.157222222222222,5.157222222222222,4.598095765438831,1.6001011052322491,5.2270723011045135,4.901978312973908,2.808954609835604,11.085728267404395,model,model,17.11630787037037,1.0,16.884814814814817,23,player,5.375354888219888,player,11.085728267404395,0.34782608695652173,player
608379,Michael,Wacha,KC,DET,True,824073,2026-08-22T23:15:00Z,25,6.2760989010989015,1.8807692307692307,1.7510439560439561,5.992222222222222,5.992222222222222,4.178642144892145,1.5527866629639897,5.735977403059241,4.861520146520147,3.2368121173065614,10.99290161555723,model,model,17.03609993195295,1.0,23.45111111111111,25,player,5.080288133690537,player,10.99290161555723,0.44,player
