date,team,opponent,is_home,pitcher_name,Throws,PAVE,PAVE_PLUS,Power_A_PLUS
2026-09-16,CLE,CWS,True,Parker Messick,L,0.21515331849561897,0.8986681781932607,0.9137251937436833
2026-09-16,CWS,CLE,False,Anthony Kay,L,0.2719482292589764,1.1358933316012223,1.1560151330171597
2026-09-16,STL,SF,True,Matthew Liberatore,L,0.283172318081084,1.1827749299152552,1.233309437157956
2026-09-16,SF,STL,False,Anthony Molina,R,0.25805604019819944,1.077867416306688,1.243475494592998
2026-09-16,MIN,NYY,True,Zebby Matthews,R,0.23342750017278321,0.9749971219930481,1.2129100552031937
2026-09-16,NYY,MIN,False,Carlos Rodón,L,0.14696896098684664,0.613870747355892,0.6407818481165698
2026-09-16,TOR,DET,True,Max Scherzer,R,0.23800623493580508,0.9941219175420362,1.0252837375885084
2026-09-16,DET,TOR,False,Keider Montero,R,0.2450841584057189,1.023685507983372,1.2201969349324029
2026-09-16,CIN,LAD,True,Andrew Abbott,L,0.3147512814961468,1.314676262973355,1.5666277243383153
2026-09-16,LAD,CIN,False,Blake Snell,L,0.18010652745946865,0.7522821681042812,0.5552670104152195
2026-09-16,TB,ATH,True,Nick Martínez,R,0.21977416551644027,0.9179688713126921,0.9274699427790484
2026-09-16,ATH,TB,False,Brady Basso,L,0.285468911545411,1.192367510123026,1.072013315738678
2026-09-16,PIT,MIL,True,Jared Jones,R,0.1773469700589266,0.7407558461348835,0.7598797939654072
2026-09-16,MIL,PIT,False,Logan Henderson,R,0.14791765493130282,0.617833321880369,0.7523879076996902
2026-09-16,WSH,PHI,True,,,,,
2026-09-16,PHI,WSH,False,Zack Wheeler,R,0.21142100720680715,0.8830787863594789,0.9256215553881704
2026-09-16,NYM,BAL,True,Xzavion Curry,R,0.18178743961352659,0.7593031254092967,0.8739185988737368
2026-09-16,BAL,NYM,False,Chris Bassitt,R,0.28314932586875396,1.182678894354606,1.024729944002115
2026-09-16,CHC,ATL,True,Shota Imanaga,L,0.23119000969298123,0.9656514074706418,1.108830153317045
2026-09-16,ATL,CHC,False,JR Ritchie,R,0.11650968309859155,0.48664619901838707,0.443241208025592
2026-09-16,TEX,BOS,True,MacKenzie Gore,L,0.28657693270735524,1.1969955742680105,1.0407897472542231
2026-09-16,BOS,TEX,False,Jake Bennett,L,0.263692303553905,1.101409374929987,1.2925656223811888
2026-09-16,HOU,KC,True,Cristian Javier,R,0.21898646644419725,0.9146787519914251,0.9669880303620767
2026-09-16,KC,HOU,False,Daniel Lynch,L,0.2419292104504487,1.0105076897136764,0.977556854829854
2026-09-16,COL,SD,True,Mason Adams,R,0.2690126050420168,1.1236316008254137,1.3411140310217684
2026-09-16,SD,COL,False,Robbie Ray,L,0.24435376708689835,1.0206347558943867,0.9578691663183917
2026-09-16,LAA,SEA,True,Yusei Kikuchi,L,0.25264601506550355,1.0552704261046586,1.0964915424683044
2026-09-16,SEA,LAA,False,George Kirby,R,0.30273133647398354,1.2644704740476753,1.30740581433726
2026-09-16,AZ,MIA,True,Merrill Kelly,R,0.24833697039205915,1.0372720919236478,1.021022014403095
2026-09-16,MIA,AZ,False,Ryan Gusto,R,0.28709516946524527,1.1991601836095824,1.039620161540409
