consensus_rank,rank,player_name,TEAM,POS,BEST,WORST,AVG.,STD.DEV,source_url,consensus_score,sources_ranked_by,source_ranks,CNG,College,Ht,Wt,CLS,Pick
22,11,Mansoor Delane (Virginia Tech),Mansoor Delane (Virginia Tech),CB1,11,13.0,11.7,0.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,56.0,1,"{'DraftTek': None, 'FantasyPros': 11.0}",,,,,,
23,11,Spencer Fano,,OT,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,56.0,1,"{'DraftTek': 11.0, 'FantasyPros': None}",--,Utah,"6'6""",311,JR,9
24,12,Jermod McCoy (Tennessee),Jermod McCoy (Tennessee),CB2,9,16.0,12.0,2.9,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,56.5,1,"{'DraftTek': None, 'FantasyPros': 12.0}",,,,,,
25,13,Carnell Tate (Ohio State),Carnell Tate (Ohio State),WR2,5,20.0,12.3,6.1,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,57.0,1,"{'DraftTek': None, 'FantasyPros': 13.0}",,,,,,
26,13,Rueben Bain Jr.,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,57.0,1,"{'DraftTek': 13.0, 'FantasyPros': None}",--,Miami (FL),"6'2""",263,JR,15
27,14,Olaivavega Ioane,,OG,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,57.5,1,"{'DraftTek': 14.0, 'FantasyPros': None}",--,Penn State,"6'4""",320,RJR,14
28,14,Peter Woods (Clemson),Peter Woods (Clemson),DT2,5,24.0,14.3,7.8,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,57.5,1,"{'DraftTek': None, 'FantasyPros': 14.0}",,,,,,
29,15,Kenyon Sadiq,,TE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,58.0,1,"{'DraftTek': 15.0, 'FantasyPros': None}",--,Oregon,"6'3""",241,JR,16
30,15,Ty Simpson (Alabama),Ty Simpson (Alabama),QB2,6,26.0,15.3,8.2,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,58.0,1,"{'DraftTek': None, 'FantasyPros': 15.0}",,,,,,
31,16,Keldric Faulk,,EDGE,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,58.5,1,"{'DraftTek': 16.0, 'FantasyPros': None}",--,Auburn,"6'6""",276,JR,31
32,16,Kenyon Sadiq (Oregon),Kenyon Sadiq (Oregon),TE1,10,24.0,17.0,5.7,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,58.5,1,"{'DraftTek': None, 'FantasyPros': 16.0}",,,,,,
33,17,Denzel Boston (Washington),Denzel Boston (Washington),WR3,12,20.0,17.3,3.8,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,59.0,1,"{'DraftTek': None, 'FantasyPros': 17.0}",,,,,,
34,17,Monroe Freeling,,OT,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,59.0,1,"{'DraftTek': 17.0, 'FantasyPros': None}",--,Georgia,"6'7""",315,JR,19
35,18,Dillon Thieneman,,S,,,,,https://www.drafttek.com/2026-NFL-Draft-Big-Board/Top-NFL-Draft-Prospects-2026-Page-1.asp,59.5,1,"{'DraftTek': 18.0, 'FantasyPros': None}",--,Oregon,"6'0""",201,JR,25
36,18,Sonny Styles (Ohio State),Sonny Styles (Ohio State),LB2,13,26.0,20.0,5.3,https://www.fantasypros.com/nfl-draft-big-board-prospect-rankings/,59.5,1,"{'DraftTek': None, 'FantasyPros': 18.0}",,,,,,
