team,current,Strength,pyth_Strength,SOS,pyth_SOS,Confidence,pyth_Confidence,Confidence_Delta,true_power,offensive_edge,team_bases_pg,suppression_resistance,home_run_reliance,homer_per_game,game_homer_rate,team_home_run_rate,away_hr_rate,Park_Factor,Bullpen_PAVE,Bullpen_PAVE_PLUS,Bullpen_Power_A_PLUS,Bullpen_BAA,Bullpen_Power_A,Bullpen_HR_Per,Bullpen_AtBats
ATH,0.7534262336820594,0.7800256523081679,0.7242833650380389,1.210407446135203,1.2579859965170421,0.8389260091133997,0.8006723704164436,0.03825363869695608,1.0167909658539918,0.9666368155875278,16.536606929510157,1.066945116120456,0.42935779816513764,1.216,0.68,1.4761904761904765,1.9682539682539681,1.3470426912239228,0.28150756781843994,1.1670931866142946,1.1995996804187152,0.2504391988130542,0.4198978907327,0.03508918640500117,2208
ATL,1.1030512494843459,1.0885499498177724,1.0978389819766934,0.8602326762154449,0.8292316695358747,1.0478745834807284,1.046845094996247,0.0010294884844814778,0.9818894319804707,0.9313895372443372,16.630708880923937,1.0323893267166042,0.41569282136894825,1.328,0.696,1.3692307692307693,1.1384615384615384,0.9864878497844255,0.22909760431284487,0.9498084017251932,1.0200723098035478,0.20248449194712687,0.35705762369979754,0.03715928165270889,1902
AZ,1.0605912582217036,1.051200481617616,1.1741911838912802,1.052788980677243,1.0914982346509903,1.068841567908099,1.20266430121963,-0.13382273331153116,1.101823616089464,1.243193852164874,18.238483950617283,0.9604533800140543,0.3657243816254417,0.9841269841269841,0.6111111111111112,1.0317460317460316,1.1428571428571428,1.014264733339432,0.25535263303373074,1.058658282287805,1.0978350069450376,0.23465941269705598,0.38427703117413103,0.029130548670202393,1754
BAL,1.0484869440258633,0.9330081635993644,1.037891261861451,1.0553334771174818,1.08790437056943,0.9482518465968175,1.0645888077691557,-0.11633696117233816,1.1629368895424164,1.159543076685934,17.619928315412185,1.166330702398899,0.43209876543209874,1.208,0.688,1.2580645161290323,1.1290322580645162,1.010838742009118,0.24157431031631343,1.0015351765358418,0.9771850766731366,0.2192761814502204,0.3420457334627682,0.024207663639694333,1879
BOS,0.9349632506763547,0.9406931750136143,1.1474460679197858,1.116398092265774,1.0034504775590078,0.9749561844270422,1.1492349894222682,-0.17427880499522597,1.2162902071698314,1.1267500606504617,17.2652767821585,1.305830353689201,0.3542039355992844,1.008,0.656,0.9180327868852459,0.8688524590163934,0.930518902640562,0.2120906343224996,0.8792997509116304,0.8661581047877474,0.19589385271721718,0.3031827760361363,0.01948644171213651,1898
CHC,1.1658442834713707,1.1446542971102194,1.104671103738453,0.8727946547691164,0.803111466606142,1.1093590817983494,1.0458360592917844,0.06352302250656505,1.1841466888288437,1.1462593056031323,18.576395061728398,1.222034072054555,0.4279141104294479,1.2857142857142858,0.7142857142857143,1.3174603174603174,1.5714285714285714,1.0567470258353244,0.2388422499461856,0.9902084151698681,1.0389456039316094,0.21723008853243495,0.3636638745390648,0.03559894454285917,1945
CIN,0.9396254011336812,0.9270819888089981,0.7277986201557269,0.9773308823509925,0.9489326764220862,0.9181355205891255,0.7110187939146158,0.20711672667450975,0.8531905738639398,0.9467594221868803,15.5699960175229,0.7596217255409995,0.48722986247544203,1.304,0.712,1.3692307692307693,1.2615384615384615,0.9556064910085651,0.23457664199469264,0.9725237681263257,0.9507500989472558,0.20824311254030184,0.3327926538147402,0.028227411482030385,2023
CLE,0.7740432257681004,0.7991031182236848,0.9012402481095442,1.2417617197809336,1.2655360893471654,0.8681764339537451,0.9808041175012197,-0.11262768354747454,1.032850773628129,1.0133808271749536,16.453321385902033,1.052320720081304,0.37449392712550605,0.952,0.616,0.8709677419354838,1.1774193548387097,0.9460875058661853,0.24501032225547584,1.0157804281090008,0.950126661384823,0.21082617194373676,0.33257443091776706,0.024670132723543334,1803
COL,0.9160508779583745,0.9289723406342267,0.8498842348530303,1.2857695581087853,1.2299262679181455,1.0150989638839756,0.918450211452449,0.0966487524315266,1.0576205918686084,1.0858269918849348,16.854500199123855,1.029414191852282,0.3739565943238731,1.12,0.64,1.1166666666666667,1.6,1.274999803532972,0.28778657851084055,1.1931251354338923,1.1547496385392073,0.25899228152742554,0.40419895525290284,0.02609997797277248,2192
CWS,1.1248552909873772,1.109024545771675,1.09840004056944,1.249262683881074,1.0189580971234988,1.1887506552934572,1.1046158791163445,0.08413477617711274,1.123994982445713,1.088840309460161,18.58237579042457,1.1591496554312648,0.4524207011686144,1.3387096774193548,0.6612903225806451,1.3278688524590163,0.9344262295081968,0.9908472401398519,0.23489993544794374,0.9738641000736704,0.9514078843055291,0.20984658686936403,0.3330228995283748,0.02651740737996658,2376
