key_mlbam,name_first,name_last,team,opponent,dk_slot,DK_Points,Estimated_Salary
701398,Sal,Stewart,CIN,STL,1B,4.32302313494638,5700.0
682985,Riley,Greene,DET,KC,OF,4.322782490828013,5700.0
596019,Francisco,Lindor,NYM,LAD,SS,4.312658220947244,5700.0
642715,Willy,Adames,SF,LAA,SS,4.308751545894472,5700.0
624413,Pete,Alonso,BAL,ATL,1B,4.305866925239116,5700.0
668709,JJ,Bleday,CIN,STL,OF,4.300649584863579,5700.0
664983,Jake,McCarthy,COL,MIL,OF,4.296464798094565,5700.0
681624,Andy,Pages,LAD,NYM,OF,4.295483719724436,5700.0
641355,Cody,Bellinger,NYY,PHI,OF,4.295483719724436,5700.0
689414,Liam,Hicks,MIA,SD,C,4.292029264181874,5700.0
680779,Henry,Davis,PIT,CHC,C,4.288513940178672,5700.0
621493,Taylor,Ward,BAL,ATL,OF,4.284520823978344,5600.0
664761,Alec,Bohm,PHI,NYY,3B,4.284101939908637,5600.0
677649,Ezequiel,Duran,TEX,SEA,SS,4.283338559794046,5600.0
701807,Carson,Benge,NYM,LAD,OF,4.277049456692192,5600.0
547180,Bryce,Harper,PHI,NYY,1B,4.275467766005251,5600.0
621020,Dansby,Swanson,CHC,PIT,SS,4.2750807364363705,5600.0
665019,Kody,Clemens,MIN,ATH,1B,4.272203927214067,5600.0
802415,Chandler,Simpson,TB,CLE,OF,4.266091952983143,5600.0
677800,Wilyer,Abreu,BOS,TOR,OF,4.265659791332294,5600.0
572233,Christian,Walker,HOU,CWS,1B,4.264522283123498,5600.0
676475,Alec,Burleson,STL,CIN,1B,4.263847660365059,5600.0
687093,Vaughn,Grissom,LAA,SF,2B,4.2635668722874405,5600.0
650489,Willi,Castro,COL,MIL,2B,4.262232057670836,5600.0
669394,Jake,Burger,TEX,SEA,1B,4.260942428314068,5600.0
681198,TJ,Rumfield,COL,MIL,1B,4.254349865581396,5600.0
691720,Kyle,Karros,COL,MIL,3B,4.253611736989131,5600.0
693307,Dillon,Dingler,DET,KC,C,4.251906269130298,5600.0
808982,Jung Hoo,Lee,SF,LAA,OF,4.25163857535174,5600.0
814439,Ryan,Waldschmidt,AZ,WSH,OF,4.250520391021124,5600.0
665804,Miguel,Amaya,CHC,PIT,C,4.245558486857835,5600.0
702332,Caleb,Durbin,BOS,TOR,3B,4.244264721159224,5600.0
650859,Luis,Rengifo,SD,MIA,3B,4.234800939282012,5500.0
683002,Gunnar,Henderson,BAL,ATL,SS,4.226107450145052,5500.0
668939,Adley,Rutschman,BAL,ATL,C,4.219515932393184,5500.0
606192,Teoscar,Hernández,LAD,NYM,OF,4.215074838077372,5500.0
694671,Wyatt,Langford,TEX,SEA,OF,4.210106486336834,5500.0
666018,Jonathan,Aranda,TB,CLE,1B,4.206927890914297,5500.0
670764,Taylor,Walls,TB,CLE,SS,4.206927890914297,5500.0
694192,Jackson,Chourio,MIL,COL,OF,4.201362527743156,5500.0
665489,Vladimir,Guerrero,TOR,BOS,1B,4.19565404528998,5500.0
