model_version,category,n_resolved,n_hits,hit_rate,n_pushes,n_pending
v2,all,1,0,0.0,0,4
v2,Receptions,1,0,0.0,0,4
v3,all,8,3,0.375,0,2
v3,Passing Yards,1,0,0.0,0,0
v3,Receiving Yards,2,1,0.5,0,1
v3,Receptions,4,2,0.5,0,1
v3,Rushing Yards,1,0,0.0,0,0
v4,all,10,7,0.7,0,10
v4,Passing Yards,1,1,1.0,0,1
v4,Receiving Yards,3,3,1.0,0,3
v4,Receptions,4,2,0.5,0,4
v4,Rushing Yards,1,1,1.0,0,1
v4,Sacks,1,0,0.0,0,1
