model_version,metric,max_picks,min_probability,n_days_resolved,day_survival_rate,day_survival_rate_ci_low,day_survival_rate_ci_high,longest_streak,current_streak
all_time,Game_Hit_Probability,2,0.65,90,0.5,0.3988372282354734,0.6011627717645266,8,8
v4-model-shortlist,Game_Hit_Probability,2,0.65,35,0.5142857142857142,0.35568804595868564,0.6700576399749026,8,8
