model_version,metric,n_bets_advised,bets_won,bets_lost,win_rate_on_advised_bets,win_rate_on_advised_bets_ci_low,win_rate_on_advised_bets_ci_high,total_staked_units,total_profit_units,roi,roi_p_value,current_bet_streak,best_bet_streak,n_market_resolved,market_accuracy,market_accuracy_ci_low,market_accuracy_ci_high,market_brier_score,market_log_loss,n_beat_closing_line_compared,beat_closing_line_rate,beat_closing_line_rate_ci_low,beat_closing_line_rate_ci_high,beat_closing_line_rate_p_value
all_time,NFL_GamePick_Win_Probability,0,0,0,,0.0,1.0,0.0,0.0,,,0,0,0,,,,,,0,,,,
v2,NFL_GamePick_Win_Probability,0,0,0,,0.0,1.0,0.0,0.0,,,0,0,0,,,,,,0,,,,
