key_mlbam,name,metric,age,value,n_comparables,n_with_next_season,projected_value_mean,projected_value_p25,projected_value_p75
502671,Paul Goldschmidt,AVG,38,0.2465753424657534,25.0,12.0,0.24361717027003996,0.22547035008335317,0.258957087061848
502671,Paul Goldschmidt,OBP,38,0.305993690851735,25.0,16.0,0.31262195343362975,0.29688508842380434,0.3309620399884092
502671,Paul Goldschmidt,SLG,38,0.4520547945205479,25.0,17.0,0.42340499472174664,0.37299771167048057,0.46153846153846156
502671,Paul Goldschmidt,OPS,38,0.7580484853722829,25.0,14.0,0.7485366339525629,0.6994470968746075,0.7951197793402665
514888,José Altuve,AVG,36,0.23076923076923078,25.0,13.0,0.24632772397834007,0.23756906077348067,0.26579925650557623
514888,José Altuve,OBP,36,0.2953929539295393,25.0,11.0,0.3216323804448614,0.30370790741476067,0.336322329792479
514888,José Altuve,SLG,36,0.38461538461538464,25.0,15.0,0.38653991888404626,0.34888305835964484,0.42336643748408453
514888,José Altuve,OPS,36,0.6800083385449239,25.0,15.0,0.6600860478115455,0.5983209134712483,0.7302600564519112
518692,Freddie Freeman,AVG,36,0.3097560975609756,25.0,17.0,0.2789032680812435,0.26480836236933797,0.30120481927710846
518692,Freddie Freeman,OBP,36,0.3874458874458874,25.0,20.0,0.37631860271068784,0.34590656928202057,0.4033122067845543
518692,Freddie Freeman,SLG,36,0.4902439024390244,25.0,19.0,0.4320481915835274,0.40136361334518017,0.4559299540363825
518692,Freddie Freeman,OPS,36,0.8776897898849119,25.0,20.0,0.8154064658056178,0.7737106826356801,0.8591266838142089
521692,Salvador Pérez,AVG,36,0.21481481481481482,25.0,7.0,0.24196906158093048,0.22298251573226546,0.26762135019527616
521692,Salvador Pérez,OBP,36,0.26218097447795824,25.0,8.0,0.3137622148583623,0.29928984301793027,0.3399502662781887
521692,Salvador Pérez,SLG,36,0.37530864197530867,25.0,18.0,0.3948608875034287,0.36601578390692374,0.40748299319727893
521692,Salvador Pérez,OPS,36,0.6374896164532668,25.0,5.0,0.6780570225232265,0.6324830547938118,0.6707343124165555
542303,Marcell Ozuna,AVG,35,0.20318725099601595,25.0,5.0,0.23394443450871888,0.22746781115879827,0.24782608695652175
542303,Marcell Ozuna,OBP,35,0.2831541218637993,25.0,8.0,0.26967335969052286,0.24512571243056056,0.28821843492502175
542303,Marcell Ozuna,SLG,35,0.32669322709163345,25.0,12.0,0.34905969745812365,0.3236278754081521,0.36898820326678766
542303,Marcell Ozuna,OPS,35,0.6098473489554328,25.0,12.0,0.669860033954131,0.5983516359382649,0.7064208790150117
543760,Marcus Semien,AVG,35,0.21084337349397592,25.0,7.0,0.2579069423377314,0.24696781614431487,0.2706240659818777
543760,Marcus Semien,OBP,35,0.2681564245810056,25.0,8.0,0.30766951199272724,0.2969427671190864,0.33464967051026306
543760,Marcus Semien,SLG,35,0.3493975903614458,25.0,11.0,0.3432187397820068,0.32847038019451813,0.36787059456550986
543760,Marcus Semien,OPS,35,0.6175540149424514,25.0,8.0,0.6750149536337404,0.5865708378967627,0.7308799499445099
543807,George Springer,AVG,36,0.23870967741935484,25.0,11.0,0.25375087550437186,0.22459188544152747,0.275897969807392
543807,George Springer,OBP,36,0.3218390804597701,25.0,18.0,0.32420413172347023,0.3082321220365332,0.33281535833762876
543807,George Springer,SLG,36,0.4064516129032258,25.0,16.0,0.38615102113684174,0.34538366117313485,0.4146163593405578
543807,George Springer,OPS,36,0.7282906933629959,25.0,12.0,0.7222231860918912,0.6713531834082879,0.7974331443103557
545121,Ildemaro Vargas,AVG,34,0.27586206896551724,25.0,17.0,0.2664274816107915,0.2508361204013378,0.2837301587301587
