key_mlbam,Current_Hit_Streak,last_game_date,name_first,name_last,team
676475,2,2026-07-30,Alec,Burleson,STL
695490,2,2026-07-29,Edwin,Arroyo,CIN
677587,2,2026-07-29,Brayan,Rocchio,CLE
595879,2,2026-07-29,Javier,Báez,DET
802139,1,2026-07-30,JJ,Wetherholt,STL
676439,1,2026-07-30,Hunter,Feduccia,TB
656775,1,2026-07-30,Cedric,Mullins,TB
668227,1,2026-07-30,Randy,Arozarena,SEA
701852,1,2026-07-29,Drew,Cavanaugh,SF
681909,1,2026-07-28,Justin,Dean,CHC
678577,1,2026-07-26,Junior,Perez,CWS
670231,1,2026-07-30,John,Rave,KC
686765,1,2026-07-29,Nick,Sogard,BOS
669016,1,2026-07-29,Brandon,Marsh,PHI
702222,1,2026-07-29,Justin,Crawford,PHI
622268,1,2026-07-30,Donovan,Walton,ATH
810938,1,2026-07-30,Ben,Williamson,TB
676356,1,2026-07-30,Jonny,DeLuca,TB
668723,1,2026-07-29,Ryan,Vilade,TB
691026,1,2026-07-30,Masyn,Winn,STL
694203,1,2026-07-29,Denzer,Guzman,LAA
678011,1,2026-07-30,Anthony,Seigler,BOS
676369,1,2026-07-28,Nelson,Velázquez,STL
694671,1,2026-07-30,Wyatt,Langford,TEX
681082,1,2026-07-29,Bryson,Stott,PHI
683748,1,2026-07-30,Victor,Mesa,TB
676572,1,2026-07-29,Eric,Wagaman,NYM
693307,1,2026-07-29,Dillon,Dingler,DET
666023,1,2026-07-29,Freddy,Fermin,SD
679529,1,2026-07-29,Spencer,Torkelson,DET
593428,1,2026-07-30,Xander,Bogaerts,SD
665923,1,2026-07-29,Esteury,Ruiz,MIA
682818,1,2026-07-29,Yohendrick,Pinango,TOR
691176,1,2026-07-30,Jasson,Domínguez,NYY
596019,1,2026-07-30,Francisco,Lindor,NYM
543760,1,2026-07-30,Marcus,Semien,NYM
666182,1,2026-07-30,Bo,Bichette,NYM
673357,1,2026-07-30,Luis,Robert,NYM
805811,1,2026-07-30,Bryce,Eldridge,SF
675961,1,2026-07-30,Alika,Williams,ATH
691373,1,2026-07-30,Jhostynxon,Garcia,PIT
699013,1,2026-07-30,Esmerlyn,Valdez,PIT
685133,1,2026-07-29,Wade,Meckler,LAA
607208,1,2026-07-29,Trea,Turner,PHI
573262,1,2026-07-30,Mike,Yastrzemski,ATL
677588,1,2026-07-30,José,Tena,WSH
807799,1,2026-07-30,Masataka,Yoshida,BOS
666211,1,2026-07-29,Taylor,Trammell,HOU
661388,1,2026-07-28,William,Contreras,MIL
696030,1,2026-07-30,Alejandro,Osuna,TEX
624585,1,2026-07-28,Jorge,Soler,LAA
678218,1,2026-07-28,Brandon,Valenzuela,TOR
669065,1,2026-07-30,Kyle,Stowers,MIA
553869,1,2026-07-29,Elías,Díaz,TEX
650859,1,2026-07-30,Luis,Rengifo,SD
666176,1,2026-07-29,Jo,Adell,LAA
595978,1,2026-07-28,Austin,Hedges,CLE
623168,1,2026-07-29,Tyler,Heineman,LAA
671289,1,2026-07-29,Tyler,Freeman,COL
664954,1,2026-07-29,Brett,Sullivan,COL
