player_id,player_display_name,position,season,team,games_played,possible_games,games_missed,dk_points_total,dk_points_per_game,games_missed_prior_season,avg_offense_pct
00-0033757,Robert Tonyan,TE,2025,KC,2,17,15,1.1,0.55,,0.11058823529411765
00-0040039,Amar Johnson,RB,2025,LAC,1,17,16,0.8,0.8,,0.04
00-0040205,Kalel Mullings,RB,2025,TEN,4,17,13,0.7000000000000001,0.17500000000000002,,0.021111111111111115
00-0035289,Gardner Minshew,QB,2025,KC,4,17,13,0.6799999999999998,0.16999999999999996,7.0,0.1675
00-0038458,Owen Wright,RB,2025,TB,2,17,15,0.6000000000000001,0.30000000000000004,,0.03333333333333333
00-0035311,Myles Gaskin,RB,2025,SEA,1,17,16,0.6000000000000001,0.6000000000000001,13.0,0.04
00-0039364,Sione Vaki,RB,2025,DET,8,17,9,0.4,0.05,8.0,0.0009090909090909091
00-0036825,Feleipe Franks,TE,2025,ATL,10,17,7,0.4,0.04,8.0,0.012941176470588235
00-0040673,Jalen Milroe,QB,2025,SEA,3,17,14,0.4,0.13333333333333333,,0.02
00-0035567,Craig Reynolds,RB,2025,DET,5,17,12,0.4,0.08,9.0,0.008571428571428572
00-0039164,Anthony Richardson,QB,2025,IND,2,17,15,0.26,0.13,6.0,0.11499999999999999
00-0039266,Kendall Milton,RB,2025,CIN,1,17,16,0.2,0.2,,0.06
00-0038911,Malik Cunningham,WR,2025,DET,1,17,16,0.1,0.1,,0.02
00-0035704,Drew Lock,QB,2025,SEA,3,17,14,0.09999999999999998,0.033333333333333326,10.0,0.13
00-0024243,Marcedes Lewis,TE,2025,DEN,1,17,16,0.0,0.0,12.0,0.242
00-0038678,Jordan Mims,RB,2025,TEN,1,17,16,0.0,0.0,9.0,0.0
00-0036950,Avery Williams,RB,2025,NYJ,1,17,16,0.0,0.0,0.0,0.0
00-0038456,Travis Vokolek,TE,2025,ARI,1,17,16,0.0,0.0,,0.10800000000000001
00-0034867,Malik Turner,WR,2025,SF,2,17,15,0.0,0.0,,0.08
00-0040629,Dalevon Campbell,WR,2025,CAR,1,17,16,0.0,0.0,,0.065
00-0035639,Parris Campbell,WR,2025,DAL,1,17,16,0.0,0.0,13.0,0.04
00-0040241,Dominic Lovett,WR,2025,DET,2,17,15,0.0,0.0,,0.018333333333333333
00-0038643,Brayden Willis,TE,2025,SF,6,17,11,0.0,0.0,12.0,0.028333333333333335
00-0034955,Brett Rypien,QB,2025,CIN,1,17,16,0.0,0.0,,0.05
00-0039710,Jeshaun Jones,WR,2025,MIN,1,17,16,0.0,0.0,,0.0
00-0036567,Elijah Mitchell,RB,2025,KC,1,17,16,0.0,0.0,,0.1
00-0040431,Dalen Cambre,WR,2025,NYG,3,17,14,0.0,0.0,,0.032857142857142856
00-0040352,Coleman Owen,WR,2025,IND,2,17,15,0.0,0.0,,0.01
00-0034928,Steven Sims,WR,2025,ARI,3,17,14,0.0,0.0,8.0,0.06999999999999999
00-0036463,Chris Blair,WR,2025,ATL,1,17,16,0.0,0.0,15.0,0.05333333333333334
00-0034054,River Cracraft,WR,2025,WAS,2,17,15,0.0,0.0,12.0,0.05
00-0035956,Giovanni Ricci,TE,2025,DET,2,17,15,0.0,0.0,,0.29333333333333333
00-0038396,Eric Gray,RB,2025,NYG,1,17,16,0.0,0.0,3.0,0.0125
00-0037277,Teagan Quitoriano,TE,2025,ATL,2,17,15,0.0,0.0,,0.12470588235294118
00-0037031,Nikola Kalinic,TE,2025,CHI,2,17,15,0.0,0.0,,0.0
00-0036569,Gary Brightwell,RB,2025,CIN,2,17,15,0.0,0.0,16.0,0.0
00-0036984,Trey Sermon,RB,2025,PIT,3,17,14,0.0,0.0,2.0,0.005
00-0038564,Cameron Latu,TE,2025,PHI,10,17,7,0.0,0.0,,0.11066666666666668
00-0038740,Jalen Moreno-Cropper,WR,2025,DAL,2,17,15,0.0,0.0,,0.043333333333333335
00-0040649,Robbie Ouzts,RB,2025,SEA,4,17,13,0.0,0.0,,0.27416666666666667
00-0036527,DJ Turner,WR,2025,LV,1,17,16,0.0,0.0,5.0,0.0
00-0035140,Mecole Hardman,WR,2025,BUF,2,17,15,0.0,0.0,5.0,0.035
00-0040058,Nick Kallerup,TE,2025,SEA,4,17,13,0.0,0.0,,0.23555555555555557
00-0038735,Princeton Fant,TE,2025,DAL,1,17,16,0.0,0.0,16.0,0.0
00-0039489,Hayden Rucci,TE,2025,MIA,1,17,16,0.0,0.0,,0.16999999999999998
00-0040225,Thomas Fidone II,TE,2025,NYG,1,17,16,0.0,0.0,,0.032857142857142856
00-0038409,Lew Nichols III,RB,2025,PIT,1,17,16,0.0,0.0,,0.0
00-0040075,LaJohntay Wester,WR,2025,BAL,14,17,3,0.0,0.0,,0.061764705882352944
00-0040506,Myles Price,WR,2025,MIN,16,17,1,0.0,0.0,,0.018125000000000002
00-0035726,Jakob Johnson,RB,2025,HOU,2,17,15,0.0,0.0,16.0,0.20142857142857143
00-0037380,Kaden Davis,WR,2025,CLE,1,17,16,0.0,0.0,16.0,0.01
00-0036646,Simi Fehoko,WR,2025,ARI,7,17,10,0.0,0.0,11.0,0.0625
00-0032951,Laquon Treadwell,WR,2025,IND,6,17,11,0.0,0.0,,0.05900000000000001
00-0040476,Ulysses Bentley IV,RB,2025,IND,1,17,16,0.0,0.0,,0.03
00-0038498,E.J. Jenkins,TE,2025,PHI,1,17,16,0.0,0.0,15.0,0.095
00-0037311,Ko Kieft,TE,2025,TB,2,17,15,0.0,0.0,14.0,0.14
00-0031763,DeAndre Carter,WR,2025,CLE,4,17,13,0.0,0.0,4.0,0.0
00-0033572,Jamal Agnew,WR,2025,ATL,11,17,6,0.0,0.0,,0.0018181818181818182
00-0034681,Chase Edmonds,RB,2025,WAS,3,17,14,0.0,0.0,,0.006666666666666667
00-0038576,Charlie Jones,WR,2025,CIN,14,17,3,0.0,0.0,10.0,0.02142857142857143
00-0038590,Justin Shorter,TE,2025,LV,3,17,14,0.0,0.0,16.0,0.012857142857142857
00-0039363,Isaac Guerendo,RB,2025,SF,7,17,10,0.0,0.0,1.0,0.0
00-0038492,Jason Brownlee,WR,2025,KC,3,17,14,0.0,0.0,,0.06833333333333334
00-0038488,Brady Russell,RB,2025,SEA,10,17,7,0.0,0.0,9.0,0.05411764705882353
00-0033319,Nick Mullens,QB,2025,JAX,4,17,13,-0.040000000000000036,-0.010000000000000009,13.0,0.11200000000000002
00-0039577,Kedon Slovis,QB,2025,ARI,2,17,15,-0.08,-0.04,,0.03
00-0035264,Jarrett Stidham,QB,2025,DEN,1,17,16,-0.1,-0.1,15.0,0.06
00-0038658,Adrian Martinez,QB,2025,SF,1,17,16,-0.1,-0.1,,
00-0035594,Travis Homer,RB,2025,CHI,8,17,9,-0.2,-0.025,9.0,0.006999999999999999
00-0034367,Nyheim Hines,RB,2025,LAC,4,17,13,-0.2,-0.05,,0.030000000000000002
00-0034577,Kyle Allen,QB,2025,DET,2,17,15,-0.30000000000000004,-0.15000000000000002,16.0,0.08333333333333333
00-0031345,Jimmy Garoppolo,QB,2025,LA,3,17,14,-1.0,-0.3333333333333333,16.0,0.08333333333333333
