metric,age,value,n_seasons
AVG,17,0.20540932620856642,2
AVG,18,0.23684219664470685,9
AVG,19,0.25797401311101886,52
AVG,20,0.2607417114780398,199
AVG,21,0.2643181592445695,476
AVG,22,0.265334594411833,976
AVG,23,0.26633052827137255,1514
AVG,24,0.2662173981972531,2141
AVG,25,0.26730818177208077,2602
AVG,26,0.2683689506532099,2844
AVG,27,0.2686169664419616,2903
AVG,28,0.269296473694075,2775
AVG,29,0.26903912144309367,2569
AVG,30,0.26848371622145445,2310
AVG,31,0.2690243997482659,2007
AVG,32,0.26803735084044117,1674
AVG,33,0.2687064095877308,1367
AVG,34,0.2698267017338116,1037
AVG,35,0.2715205887383758,764
AVG,36,0.2698669988492865,553
AVG,37,0.26847846915767554,368
AVG,38,0.2676601396055859,241
AVG,39,0.26972974673190553,144
AVG,40,0.27199213385117094,86
AVG,41,0.26294980308347876,44
AVG,42,0.26703663884447554,20
AVG,43,0.27914813811579264,7
AVG,44,0.28564515386032796,4
AVG,45,0.2713872137303293,3
AVG,46,0.27467811158798283,1
OBP,17,0.2379136690647482,2
OBP,18,0.27660374210742966,9
OBP,19,0.3091248370983414,52
OBP,20,0.3117698673910149,199
OBP,21,0.3187222410168287,476
OBP,22,0.32253758578584163,976
OBP,23,0.3255250696774726,1514
OBP,24,0.32705376498966726,2141
OBP,25,0.3298434745983852,2602
OBP,26,0.3317097133920343,2844
OBP,27,0.33331761099952684,2903
OBP,28,0.33506363106893183,2775
OBP,29,0.33580045969851174,2569
OBP,30,0.33629975269767026,2310
OBP,31,0.3367593357235004,2007
OBP,32,0.33727945613013255,1674
OBP,33,0.3387447000435862,1367
OBP,34,0.3395512620601989,1037
OBP,35,0.34286319168475526,764
OBP,36,0.3420208526531888,553
OBP,37,0.3403648764837917,368
OBP,38,0.3402030421685191,241
OBP,39,0.34482717420066794,144
OBP,40,0.3442968641463083,86
OBP,41,0.3460887351781666,44
OBP,42,0.3574626645264089,20
OBP,43,0.3515387799304807,7
OBP,44,0.3715742076956601,4
OBP,45,0.35768420300725023,3
OBP,46,0.3484848484848485,1
SLG,17,0.2369124154629707,2
SLG,18,0.3112109454176029,9
SLG,19,0.3583020415739676,52
SLG,20,0.36929549808230305,199
SLG,21,0.3753954422770264,476
SLG,22,0.38531743249850137,976
SLG,23,0.391033551737459,1514
SLG,24,0.39239335897161526,2141
SLG,25,0.3962523630072863,2602
SLG,26,0.3982808014920184,2844
SLG,27,0.39881515251824096,2903
SLG,28,0.39917274745540887,2775
SLG,29,0.4002232359891283,2569
SLG,30,0.39831573116220226,2310
SLG,31,0.3988082658508866,2007
SLG,32,0.39779191027827027,1674
SLG,33,0.3991297285332477,1367
SLG,34,0.40082753829349965,1037
SLG,35,0.40641306602514227,764
SLG,36,0.4043148874281205,553
SLG,37,0.39911372220178715,368
SLG,38,0.3976975188258884,241
SLG,39,0.4081717564241798,144
SLG,40,0.4090194733356148,86
SLG,41,0.3852843081174994,44
SLG,42,0.3931528219892668,20
SLG,43,0.37102535982183366,7
SLG,44,0.3595487838584853,4
SLG,45,0.3571720835655335,3
SLG,46,0.45064377682403434,1
OPS,17,0.4748260845277189,2
OPS,18,0.5878146875250325,9
OPS,19,0.6674268786723089,52
OPS,20,0.6810653654733185,199
OPS,21,0.6941176832938551,476
OPS,22,0.707855018284343,976
OPS,23,0.716558621414931,1514
OPS,24,0.7194471239612815,2141
OPS,25,0.7260958376056708,2602
OPS,26,0.7299905148840506,2844
