consensus_rank,rank,player_name,Tm,Age,L,PA,AB,R,H,2B,3B,HR,TB,RBI,BB,SO,SB,CS,LOB,HR%,BB%,K%,AVG,OBP,SLG,OPS,Unnamed: 26,G,IP,ER,HRA,Outs,ERA,WHIP,W,L.1,SV,Unnamed: 19,source_url,consensus_score,sources_ranked_by,source_ranks
66,68,Josue Briceño,,21,ALL (4),169.0,144.0,23,36,6.0,0.0,9.0,69.0,29.0,22,41,0.0,1.0,74.0,5.3,13.0,24.3,0.25,0.349,0.479,0.828,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,68.0,1,{'MLB Pipeline': 68.0}
67,69,Josh Hammond,,19,A,487.0,437.0,69,125,24.0,3.0,5.0,170.0,39.0,46,94,25.0,5.0,147.0,1.0,9.4,19.3,0.286,0.354,0.389,0.743,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,69.0,1,{'MLB Pipeline': 69.0}
68,70,Seaver King,,23,ALL (2),489.0,426.0,83,131,22.0,5.0,19.0,220.0,70.0,48,106,15.0,8.0,179.0,3.9,9.8,21.7,0.308,0.386,0.516,0.902,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,70.0,1,{'MLB Pipeline': 70.0}
69,71,Braylon Doughty,,20,ALL (2),,,61,114,,,,,,25,123,,,,,,,,,,,,25.0,109.2,50.0,8.0,329.0,4.1,1.27,5.0,6.0,0.0,,https://www.mlb.com/prospects/stats/top-prospects,71.0,1,{'MLB Pipeline': 71.0}
70,72,Jonny Farmelo,,22,ALL (2),613.0,509.0,95,128,25.0,9.0,17.0,222.0,69.0,97,158,41.0,15.0,177.0,2.8,15.8,25.8,0.251,0.375,0.436,0.811,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,72.0,1,{'MLB Pipeline': 72.0}
71,73,Marek Houston,,22,ALL (2),554.0,477.0,92,149,28.0,2.0,12.0,217.0,60.0,61,108,50.0,9.0,169.0,2.2,11.0,19.5,0.312,0.392,0.455,0.847,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,73.0,1,{'MLB Pipeline': 73.0}
72,74,Demetrio Crisantes,,22,ALL (4),370.0,321.0,60,93,22.0,4.0,9.0,150.0,52.0,39,67,0.0,3.0,130.0,2.4,10.5,18.1,0.29,0.372,0.467,0.839,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,74.0,1,{'MLB Pipeline': 74.0}
73,75,Jefferson Rojas,,21,ALL (2),525.0,463.0,82,126,27.0,2.0,24.0,229.0,86.0,46,88,20.0,7.0,202.0,4.6,8.8,16.8,0.272,0.338,0.495,0.833,,,,,,,,,,,,,https://www.mlb.com/prospects/stats/top-prospects,75.0,1,{'MLB Pipeline': 75.0}
74,76,Caden Scarborough,,21,ALL (2),,,32,45,,,,,,16,52,,,,,,,,,,,,14.0,52.1,30.0,4.0,157.0,5.16,1.17,1.0,7.0,0.0,,https://www.mlb.com/prospects/stats/top-prospects,76.0,1,{'MLB Pipeline': 76.0}
75,77,Karson Milbrandt,,22,ALL (2),,,67,94,,,,,,67,125,,,,,,,,,,,,24.0,107.0,60.0,16.0,321.0,5.05,1.5,4.0,8.0,0.0,,https://www.mlb.com/prospects/stats/top-prospects,77.0,1,{'MLB Pipeline': 77.0}
