player_id,ecr,ecr_sd,ecr_best,ecr_worst
00-0039150,177.2,37.7,135,231
00-0034829,205.67,28.1,169,253
00-0039875,207.5,31.53,147,237
00-0039855,182.8,24.94,141,207
00-0033119,183.0,55.21,130,275
00-0040886,209.83,57.36,144,302
00-0039890,184.2,17.15,170,217
00-0036309,184.4,23.9,145,209
00-0040727,184.6,31.02,148,230
00-0041489,185.8,21.78,162,226
00-0039794,187.2,38.74,122,238
00-0034837,190.2,18.73,164,221
00-0036894,215.33,46.79,155,305
00-0041013,192.0,45.69,148,275
00-0041096,195.4,45.5,151,282
WAS569019,195.8,35.61,134,230
00-0040138,196.2,12.07,173,206
00-0038608,196.8,24.62,150,219
00-0040669,199.0,22.96,182,244
00-0039410,199.8,67.43,139,330
00-0036550,204.2,28.76,148,225
00-0040584,205.0,25.88,169,235
00-0033553,205.6,58.17,147,306
00-0040876,210.8,26.44,192,263
00-0041048,211.6,32.34,175,269
00-0040134,212.6,34.51,172,276
00-0041044,213.2,27.37,184,261
00-0033881,217.2,29.37,171,255
00-0036212,218.6,38.81,164,284
00-0041562,219.8,62.65,164,335
00-0041525,221.6,23.42,205,268
00-0038951,223.2,29.15,175,265
00-0038393,195.25,15.25,179,220
00-0033885,243.83,14.79,222,267
00-0039874,226.2,58.02,159,304
00-0041042,230.0,15.81,204,247
00-0040177,231.4,65.73,159,348
00-0033526,230.2,29.03,178,262
00-0038558,231.4,19.27,205,265
00-0039391,231.6,54.16,151,294
00-0041104,233.2,25.43,201,267
00-0040668,234.0,16.09,207,254
00-0033908,209.5,9.71,202,226
00-0039917,211.75,22.39,178,241
00-0041052,212.75,36.58,155,255
00-0040198,238.4,42.31,168,301
00-0033537,239.2,59.69,166,339
00-0036261,243.8,36.52,196,298
00-0037112,260.0,30.65,227,308
00-0040586,220.25,52.4,165,305
00-0039868,221.75,18.97,195,247
00-0038797,245.8,45.18,169,292
00-0038977,184.67,3.68,180,189
00-0040870,224.0,23.16,208,264
00-0038104,228.75,60.0,142,311
00-0035535,229.75,39.26,170,271
00-0037666,237.5,48.28,156,278
00-0036244,258.2,26.86,227,307
00-0040648,239.75,33.21,216,297
00-0041483,240.75,42.03,199,296
00-0041443,241.75,36.3,187,277
00-0041067,242.75,29.67,195,274
00-0039901,245.5,35.08,208,298
00-0040705,246.75,18.53,223,271
00-0029604,248.0,48.76,176,307
00-0034975,249.0,24.87,213,278
00-0040890,220.67,23.1,188,237
00-0039299,254.25,39.68,211,319
00-0040729,255.0,13.91,240,273
00-0034775,228.33,16.13,207,246
00-0037741,236.33,68.27,140,290
00-0041047,186.5,11.5,175,198
00-0033040,238.0,48.26,181,299
00-0035250,264.75,31.22,212,293
00-0040179,269.5,44.35,227,344
00-0041550,245.33,25.1,210,266
00-0035537,248.0,9.09,236,258
00-0040170,249.0,16.51,234,272
00-0038976,249.67,35.78,201,286
00-0039424,250.33,52.66,204,324
00-0039066,274.0,38.72,231,324
00-0041561,274.5,38.07,239,338
00-0039847,274.75,24.93,232,294
00-0039921,277.75,61.68,187,353
00-0038619,257.0,44.64,197,304
00-0037563,258.0,29.02,236,299
00-0036182,220.5,34.5,186,255
00-0036988,222.5,0.5,222,223
00-0041523,266.33,18.26,251,292
00-0041490,270.67,73.68,172,349
00-0040142,293.0,45.35,226,354
00-0035208,273.67,44.51,224,332
00-0040888,274.0,18.67,248,291
00-0041051,275.33,30.92,233,306
00-0036849,147.0,0.0,147,147
00-0040202,286.33,60.78,217,365
00-0030279,251.5,34.5,217,286
00-0039363,283.0,61.88,197,340
00-0033555,283.0,22.11,264,314
00-0039342,255.5,62.5,193,318
00-0033307,256.5,44.5,212,301
00-0039356,258.0,17.0,241,275
00-0035662,258.5,1.5,257,260
00-0040736,287.0,10.42,273,298
00-0036945,288.67,29.01,262,329
00-0040238,290.33,29.27,249,313
00-0037801,190.0,0.0,190,190
00-0041125,266.5,36.5,230,303
00-0040739,292.67,2.62,289,295
00-0032464,200.0,0.0,200,200
00-0041529,201.0,0.0,201,201
00-0038705,294.33,40.19,238,329
00-0038685,295.0,15.58,277,315
00-0036290,275.0,25.0,250,300
00-0032268,277.5,50.5,227,328
00-0037742,216.0,0.0,216,216
00-0038839,218.0,0.0,218,218
00-0040208,304.33,35.65,263,350
00-0036893,282.0,35.0,247,317
00-0039814,282.5,31.5,251,314
00-0039798,283.5,33.5,250,317
00-0032775,231.0,0.0,231,231
00-0037614,233.0,0.0,233,233
00-0041041,234.0,0.0,234,234
00-0039355,235.0,0.0,235,235
00-0038618,288.0,46.0,242,334
00-0040782,288.0,27.0,261,315
00-0041395,289.0,44.0,245,333
00-0041077,289.5,28.5,261,318
00-0040078,289.5,21.5,268,311
00-0031503,240.0,0.0,240,240
00-0040131,291.5,10.5,281,302
00-0040237,292.0,35.0,257,327
00-0040581,292.5,38.5,254,331
00-0040009,245.0,0.0,245,245
00-0035689,293.0,17.0,276,310
00-0041399,293.5,27.5,266,321
00-0036637,294.5,24.5,270,319
00-0033110,295.0,37.0,258,332
00-0041510,296.0,13.0,283,309
00-0038046,252.0,0.0,252,252
00-0038621,253.0,0.0,253,253
00-0039923,297.5,24.5,273,322
00-0036626,256.0,0.0,256,256
00-0040692,256.0,0.0,256,256
00-0039792,258.0,0.0,258,258
00-0039751,259.0,0.0,259,259
00-0033858,263.0,0.0,263,263
00-0038979,302.0,23.0,279,325
00-0037837,269.0,0.0,269,269
00-0041070,272.0,0.0,272,272
00-0041132,306.5,26.5,280,333
00-0040894,274.0,0.0,274,274
00-0041069,276.0,0.0,276,276
00-0035500,281.0,0.0,281,281
00-0038551,323.0,41.0,282,364
00-0039746,317.0,34.0,283,351
00-0039405,316.0,29.0,287,345
00-0031610,288.0,0.0,288,288
00-0040590,288.0,0.0,288,288
00-0030061,290.0,0.0,290,290
00-0039164,295.0,0.0,295,295
00-0032392,297.0,0.0,297,297
00-0040644,320.0,17.0,303,337
00-0036980,308.0,0.0,308,308
00-0037267,325.5,12.5,313,338
00-0038115,312.0,0.0,312,312
00-0040194,316.0,0.0,316,316
00-0039912,328.5,5.5,323,334
00-0036972,320.0,0.0,320,320
00-0039041,320.0,0.0,320,320
00-0038547,321.0,0.0,321,321
00-0033897,322.0,0.0,322,322
00-0040466,323.0,0.0,323,323
00-0037005,325.0,0.0,325,325
00-0034798,326.0,0.0,326,326
00-0034791,327.0,0.0,327,327
00-0039144,328.0,0.0,328,328
00-0035644,330.0,0.0,330,330
00-0039796,331.0,0.0,331,331
00-0040187,335.0,0.0,335,335
00-0039021,336.0,0.0,336,336
00-0026158,337.0,0.0,337,337
00-0041129,339.0,0.0,339,339
00-0041568,340.0,0.0,340,340
00-0036924,341.0,0.0,341,341
00-0041472,342.0,0.0,342,342
00-0034270,343.0,0.0,343,343
00-0038440,346.0,0.0,346,346
00-0041087,347.0,0.0,347,347
00-0038794,352.0,0.0,352,352
00-0029892,355.0,0.0,355,355
00-0035249,356.0,0.0,356,356
00-0041503,358.0,0.0,358,358
00-0041579,359.0,0.0,359,359
00-0041084,360.0,0.0,360,360
00-0041524,361.0,0.0,361,361
00-0041116,362.0,0.0,362,362
00-0041094,363.0,0.0,363,363
