date,season,week,game_id,home_team,away_team,predicted_winner,predicted_loser,predicted_probability,above_threshold,status,market_home_win_probability,market_predicted_winner_probability,bet_units,bet_side,bet_team,bet_moneyline,bet_profit_units
2026-09-13,2026,1,2026_01_CHI_CAR,CAR,CHI,CAR,CHI,0.5046598389251021,False,loss,0.4066302458405761,0.4066302458405761,0.0,home,CAR,136.0,
2026-09-13,2026,1,2026_01_CLE_JAX,JAX,CLE,CLE,JAX,0.5052389193391164,False,loss,0.7659021045164341,0.23409789548356585,1.3715722978175575,away,CLE,310.0,-1.3715722978175575
2026-09-13,2026,1,2026_01_TB_CIN,CIN,TB,TB,CIN,0.5036033334747786,False,loss,0.6369041816941223,0.36309581830587767,0.0,away,TB,164.0,
2026-09-13,2026,1,2026_01_GB_MIN,MIN,GB,MIN,GB,0.540976791570976,False,win,0.5173641257162701,0.5173641257162701,0.0,,,,
2026-09-13,2026,1,2026_01_MIA_LV,LV,MIA,MIA,LV,0.5419492901873155,False,loss,0.6369041816941223,0.36309581830587767,0.8852831065473266,away,MIA,164.0,-0.8852831065473266
2026-09-13,2026,1,2026_01_NO_DET,DET,NO,DET,NO,0.504778831474364,False,win,0.7179705215419501,0.7179705215419501,1.3715722978175575,away,NO,240.0,-1.3715722978175575
2026-09-13,2026,1,2026_01_ARI_LAC,LAC,ARI,ARI,LAC,0.5000298773444718,False,win,0.8118668596237336,0.18813314037626638,1.3715722978175575,away,ARI,410.0,5.623446421051986
2026-09-13,2026,1,2026_01_WAS_PHI,PHI,WAS,PHI,WAS,0.514224659214289,False,win,0.6574752261956054,0.6574752261956054,0.0,away,WAS,180.0,
2026-09-13,2026,1,2026_01_ATL_PIT,PIT,ATL,PIT,ATL,0.5419369116987782,False,win,0.6092362344582594,0.6092362344582594,0.0,,,,
2026-09-10,2026,1,2026_01_SF_LA,LA,SF,SF,LA,0.540625153766224,False,win,0.6369041816941223,0.36309581830587767,0.7972627229135628,away,SF,164.0,1.307510865578243
2026-09-09,2026,1,2026_01_NE_SEA,SEA,NE,NE,SEA,0.5346068214035147,False,loss,0.6092362344582594,0.39076376554174064,0.0,away,NE,145.0,
