model_version,metric,n_bets_advised,bets_won,bets_lost,win_rate_on_advised_bets,win_rate_on_advised_bets_ci_low,win_rate_on_advised_bets_ci_high,total_staked_units,total_profit_units,roi,roi_p_value,current_bet_streak,best_bet_streak,n_market_resolved,market_accuracy,market_accuracy_ci_low,market_accuracy_ci_high,market_brier_score,market_log_loss,n_beat_closing_line_compared,beat_closing_line_rate,beat_closing_line_rate_ci_low,beat_closing_line_rate_ci_high,beat_closing_line_rate_p_value
all_time,GamePick_Win_Probability,67,23,44,0.34328358208955223,0.2408900627276291,0.4626733540965101,132.74233227051278,-17.49978308821383,-0.13183272275607902,0.5528011227404367,0,2,31,0.5806451612903226,0.4076626249536972,0.7358445693268778,0.23581280914003547,0.6631491403878027,31,0.41935483870967744,0.2641554306731223,0.5923373750463029,0.47312965989112854
v1,GamePick_Win_Probability,67,23,44,0.34328358208955223,0.2408900627276291,0.4626733540965101,132.74233227051278,-17.49978308821383,-0.13183272275607902,0.5528011227404367,0,2,31,0.5806451612903226,0.4076626249536972,0.7358445693268778,0.23581280914003547,0.6631491403878027,31,0.41935483870967744,0.2641554306731223,0.5923373750463029,0.47312965989112854
