key_mlbam,name_first,name_last,team,PA_L,PA_R,WAVE,WAVE_L,WAVE_R,probability_L,probability_R,probability,WAVE_CI_Low,WAVE_CI_High,probability_CI_Low,probability_CI_High,Game_Hit_Probability,Game_Hit_Probability_CI_Low,Game_Hit_Probability_CI_High,Consistency,Approach,Expected_Bases,Expected_BB,Expected_HBP,Expected_RBI,Exit_Velo,Barrel_Rate,xBA,xwOBA,Fastball_WAVE,Breaking_WAVE,Offspeed_WAVE,WAVE_Home,WAVE_Away,Whiff_Rate,Chase_Rate,Decision_Score,Decision_Score_N,Last_Game_Date,avg_batting_order,start_rate,Recent_Avg_Batting_Order,Expected_PA
664983,Jake,McCarthy,COL,149.0,368,0.25183562128607345,0.2320873845346269,0.2598315106229363,0.6336175857069445,0.6814547351379492,0.6681714214426142,0.2379552033240617,0.31469177580166685,0.6441488197533158,0.7623113089343974,0.6788409387900383,0.6492908553282124,0.801636553551063,0.010669517347424051,0.4535821150047785,1.5538032272353033,0.2318706602994117,0.042950000895479616,0.4364832996362952,86.51147623454833,0.07577300451084523,0.3306741466684886,0.3770164012257138,0.333088646653714,0.1845719178082192,0.361474358974359,0.29545666356011185,0.25364890662964246,0.1626046544519305,0.38561454135017326,52.46395832418106,1751,2026-09-10,1.0,1.0,1.0,3.802181818181818
650402,Gleyber,Torres,DET,110.0,262,0.2339563768679934,0.2586829347885734,0.22357499758836052,0.6779978502670019,0.6163486465639743,0.6354099584074848,0.19371050497946726,0.27947161648930463,0.5574198482869106,0.7108701562083473,0.6728966026510181,0.5773381980275989,0.7715979902284529,0.03748664424353332,0.42756520230302125,1.0846666338467525,0.2803847956390667,0.004939516129032258,0.14069109896717602,85.62759710769231,0.03557615384615385,0.3664571933919414,0.36391879164835167,0.3177191176542774,0.26207957957957956,0.23261904761904761,0.27446779695302065,0.266731639336647,0.2422888003437317,0.2354626234746724,71.79266681929091,1586,2026-09-08,1.5,0.8,1.6,3.7858181818181817
650333,Luis,Arráez,PHI,174.0,407,0.2613274507296479,0.28161539332649593,0.25265398141305934,0.7071245366311686,0.6608342134338054,0.6752201814074714,0.26530547367140866,0.3397156880194865,0.6816667879428375,0.7858599018394585,0.6720672568477887,0.6755098594207268,0.8179988832416637,-0.003152924559682746,0.4537933750867856,1.243569091617513,0.13714855425538472,0.07366790531691986,0.2548437947678451,84.88486030314513,0.031671884868005554,0.2983225039953581,0.3016198265820387,0.2826874157206196,0.30482080665093814,0.45495689655172417,0.3684040958244282,0.2321835480093677,0.04911924343366311,0.3515410695419414,42.55723552367882,2283,2026-09-10,4.0,0.9,4.0,3.7127954545454545
701398,Sal,Stewart,CIN,154.0,464,0.24668018088479104,0.23630635213987544,0.2501232188734053,0.6355158277602584,0.6595969345250052,0.6537086812791315,0.20904154356173119,0.27635783684164117,0.5843643263406417,0.702084936668744,0.6712201857043633,0.6270370073396375,0.7733862164611814,0.01751150442523175,0.43878246244473307,1.4696578839175927,0.2813318302517332,0.012176375404530744,0.4285097992622265,90.44710090092524,0.09380533193759708,0.3463489972749375,0.40515046523603704,0.2525851570912256,0.3015989001515318,0.17555677313307763,0.2597617758221922,0.25394095008450523,0.24591846168755865,0.3573334906853542,62.91301318218865,2497,2026-09-09,2.65,1.0,3.0,3.74375
805811,Bryce,Eldridge,SF,128.0,288,0.232534426465873,0.2454919781304717,0.22677551461494025,0.6516594112195468,0.6181928269536954,0.6287305033868409,0.19509322008482993,0.27613575138553703,0.5562534025776167,0.7017425014678056,0.6700492724464505,0.5871490857227591,0.7657647368832344,0.04131876905960963,0.42128041635924335,1.6089293172105672,0.5299287344599845,0.0,0.7188188374125875,92.65920796495041,0.10026583935390813,0.415277969144157,0.469802341495263,0.288880279865131,0.21480667489370023,0.19522435897435897,0.3029176441877825,0.23531160635060716,0.24236491528433404,0.23581588551235477,55.94147982043728,1761,2026-09-09,3.176470588235294,0.85,3.0,3.74375
691594,Javier,Sanoja,MIA,135.0,290,0.27818613099739764,0.2435853313196489,0.29429339981290137,0.6355185200789624,0.7163881903102123,0.6922780646898965,0.23498452867356284,0.3196294293023139,0.6203111853975903,0.7515050923481423,0.6699721869760121,0.5142527156272018,0.6860012724001788,-0.02230587771388437,0.46380704899581116,1.6388468304141677,0.21529311632639805,0.0,0.4371419602069757,87.7803028455686,0.022264344666903607,0.3465122840402006,0.347234019386197,0.3630075388654661,0.2793664668664669,0.30841111399187626,0.3033505694666307,0.3744082094376212,0.11272742113786433,0.3690758495236107,54.09964374143419,1467,2026-09-09,6.368421052631579,0.95,6.142857142857143,3.6153441558441557
672386,Alejandro,Kirk,TOR,87.0,174,0.24109819646177416,0.26295464864047496,0.23016997037242376,0.6778685627140038,0.6213767243753419,0.6409511133836474,0.20398703554487727,0.30892910464548085,0.5713165176337388,0.7463818971447886,0.6698381901093615,0.5834478625635623,0.7976848872339729,0.02888707672571411,0.42933353373748256,1.5216778083127949,0.18593917897155154,0.0,0.62527795271798,89.8484829303787,0.050297098936662045,0.302078396550456,0.3123130151199933,0.2766446969766524,0.2235660514813016,0.4529411764705882,0.18582641591116167,0.26833081110008394,0.1437369677433286,0.26479075629818305,59.41926688542852,1041,2026-09-09,3.25,0.8,4.0,3.7127954545454545
650490,Yandy,Díaz,TB,173.0,444,0.2580307811134511,0.24643281829902336,0.26254980716501863,0.6589677794389801,0.6858799541526184,0.6784980714487613,0.2432916642850811,0.31376111288870767,0.6535311355030746,0.7610816799594705,0.6689159906595461,0.6443910603610559,0.7905672762433178,-0.009582080789215186,0.45385820962373963,1.7047181425867441,0.13294633373246995,0.017295423980137246,0.4305556748649751,92.26303466385134,0.09060697460071895,0.3583959203744873,0.3933512959779748,0.2461677342554277,0.3369223366329124,0.32631233772047635,0.2832966224010032,0.28163290944294184,0.12426252144440947,0.31409579616908745,58.08918871830811,2359,2026-09-10,1.15,1.0,1.0,3.802181818181818
802415,Chandler,Simpson,TB,176.0,369,0.2647780235089563,0.28753594080315664,0.2539232987290667,0.7124818017633079,0.6593776239951319,0.6772461029682607,0.2568959579441156,0.3331495891188528,0.6643408809192497,0.7745660305977113,0.6681013286630049,0.6374233252050407,0.7875217920613744,-0.009144774305255843,0.4524690212249372,1.0358341913103444,0.17598385069749906,0.0,0.11990337325947478,80.35626438255761,0.0,0.29704352664730876,0.276985441749791,0.3133793306907989,0.34816916676432674,0.18068181818181817,0.35253345498783456,0.28176269800896825,0.09878083444595023,0.29096588892454206,65.25050254335969,1813,2026-09-10,4.85,1.0,4.857142857142857,3.6766201298701295
606466,Ketel,Marte,AZ,139.0,408,0.21905886719580847,0.24961383322686703,0.2086492096509135,0.6597468103907531,0.5846028437921398,0.6047476615825229,0.19529759699627067,0.2655273005416664,0.5576744343081969,0.68605444206598,0.6679570038904222,0.5968908173836056,0.7573873955832109,0.06320934230789932,0.403945436140401,1.3275995789706942,0.44699601130131295,0.04525898842169409,0.26922234225250674,89.36210565090313,0.061336703318611206,0.27214029808284823,0.28822262122222875,0.18112681260865884,0.2466004359490275,0.2919592875318066,0.28176733241382285,0.2004373127695667,0.1407363194561985,0.3356288813134202,58.12035378414689,2030,2026-09-09,3.0,0.4,2.6666666666666665,3.7541363636363636
